t,   y,   u
0.000000,   -0.053604,   29.904785,   0.012412
420.000000,   -0.063751,   29.908447,   0.017280
520.000000,   -0.033691,   29.901123,   0.021784
636.000000,   -0.009582,   29.908447,   0.030622
986.000000,   -0.010345,   29.897461,   0.036692
1248.000000,   0.009339,   29.897461,   0.042386
1542.000000,   0.003235,   29.897461,   0.046787
1832.000000,   0.047638,   29.901123,   0.050220
2130.000000,   0.071900,   29.901123,   0.053184
2456.000000,   0.076096,   29.915771,   0.055192
2727.000000,   0.114548,   29.901123,   0.056788
2988.000000,   0.130264,   29.897461,   0.058372
3276.000000,   0.182449,   29.904785,   0.061048
3910.000000,   0.225708,   29.901123,   0.062089
4232.000000,   0.215408,   29.901123,   0.062903
4522.000000,   0.245773,   29.904785,   0.063636
4815.000000,   0.279495,   29.904785,   0.064350
5140.000000,   0.317719,   29.892578,   0.064893
5432.000000,   0.297272,   29.897461,   0.065391
5730.000000,   0.322754,   29.901123,   0.065943
6056.000000,   0.348923,   29.897461,   0.066413
6396.000000,   0.352738,   29.901123,   0.066721
6911.000000,   0.410568,   29.897461,   0.067390
7269.000000,   0.403092,   29.901123,   0.067679
7560.000000,   0.407669,   29.908447,   0.067924
7850.000000,   0.449555,   29.897461,   0.068186
8172.000000,   0.450699,   29.904785,   0.068354
8467.000000,   0.475418,   29.897461,   0.068525
8731.000000,   0.486328,   29.892578,   0.068751
9078.000000,   0.477326,   29.904785,   0.069013
9374.000000,   0.470230,   29.901123,   0.069199
9640.000000,   0.505783,   29.901123,   0.069330
9962.000000,   0.490906,   29.901123,   0.069547
10310.000000,   0.512345,   29.904785,   0.069678
10576.000000,   0.520203,   29.897461,   0.069773
10873.000000,   0.519364,   29.904785,   0.069904
11134.000000,   0.543854,   29.901123,   0.069996
11456.000000,   0.557663,   29.904785,   0.070127
11797.000000,   0.555145,   29.892578,   0.070222
12062.000000,   0.553848,   29.908447,   0.070307
12349.000000,   0.567429,   29.901123,   0.070392
12612.000000,   0.575287,   29.901123,   0.070484
12934.000000,   0.594818,   29.901123,   0.070551
13234.000000,   0.586197,   29.901123,   0.070615
13530.000000,   0.585053,   29.901123,   0.070710
13852.000000,   0.592682,   29.904785,   0.070777
14142.000000,   0.624802,   29.901123,   0.070832
14430.000000,   0.615646,   29.892578,   0.070887
14754.000000,   0.631287,   29.897461,   0.070954
15016.000000,   0.625412,   29.904785,   0.071021
15270.000000,   0.634186,   29.897461,   0.071039
15570.000000,   0.656540,   29.908447,   0.071049
15832.000000,   0.652344,   29.892578,   0.071122
16160.000000,   0.671723,   29.897461,   0.071131
16479.000000,   0.668060,   29.897461,   0.071140
16770.000000,   0.671341,   29.904785,   0.071140
17098.000000,   0.656998,   29.897461,   0.071104
17350.000000,   0.670197,   29.901123,   0.071104
17672.000000,   0.701325,   29.901123,   0.071067
18003.000000,   0.698883,   29.908447,   0.071076
18270.000000,   0.696747,   29.901123,   0.071009
18595.000000,   0.711090,   29.904785,   0.071329
18894.000000,   0.710938,   29.904785,   0.071555
19194.000000,   0.717194,   29.901123,   0.071573
19448.000000,   0.722611,   29.901123,   0.071583
19744.000000,   0.702088,   29.897461,   0.071610
20009.000000,   0.735809,   29.908447,   0.071696
20566.000000,   0.710175,   29.897461,   0.071873
20848.000000,   0.733292,   29.897461,   0.071921
21133.000000,   0.729477,   29.904785,   0.071985
21386.000000,   0.723145,   29.897461,   0.072062
21675.000000,   0.740387,   29.897461,   0.072062
21990.000000,   0.759155,   29.897461,   0.072153
22305.000000,   0.736725,   29.892578,   0.072202
22591.000000,   0.742676,   29.904785,   0.072211
22849.000000,   0.764496,   29.904785,   0.072239
23164.000000,   0.761978,   29.901123,   0.072288
23676.000000,   0.777847,   29.897461,   0.072297
23727.000000,   0.768082,   29.901123,   0.072764
24014.000000,   0.770981,   29.904785,   0.073139
24270.000000,   0.785706,   29.904785,   0.073206
24556.000000,   0.753586,   29.901123,   0.073310
24806.000000,   0.786850,   29.897461,   0.073328
25096.000000,   0.793793,   29.904785,   0.073356
25392.000000,   0.791657,   29.904785,   0.073423
25712.000000,   0.801804,   29.901123,   0.073478
25974.000000,   0.810043,   29.901123,   0.073514
26295.000000,   0.805771,   29.908447,   0.073524
26560.000000,   0.816147,   29.897461,   0.073554
27127.000000,   0.800278,   29.892578,   0.073591
27430.000000,   0.813095,   29.904785,   0.073636
27689.000000,   0.821106,   29.901123,   0.073685
28012.000000,   0.805389,   29.897461,   0.073713
28334.000000,   0.818054,   29.897461,   0.073759
28597.000000,   0.838501,   29.888916,   0.073740
28850.000000,   0.824921,   29.904785,   0.073844
29146.000000,   0.845062,   29.904785,   0.073835
29436.000000,   0.830872,   29.901123,   0.073881
29760.000000,   0.849030,   0.059814,   0.073929
30076.000000,   0.850403,   -0.023193,   0.065296
30375.000000,   0.865128,   -0.019531,   0.053165
30701.000000,   0.834152,   -0.015869,   0.045426
30972.000000,   0.808899,   -0.034180,   0.038325
31295.000000,   0.801041,   -0.019531,   0.033887
31548.000000,   0.771210,   -0.026855,   0.029664
31842.000000,   0.760300,   -0.023193,   0.026307
32130.000000,   0.726044,   -0.026855,   0.023359
32454.000000,   0.720856,   -0.026855,   0.020939
32980.000000,   0.690796,   -0.030518,   0.019343
33026.000000,   0.688507,   -0.026855,   0.017731
33320.000000,   0.645325,   -0.023193,   0.016416
33608.000000,   0.633804,   -0.026855,   0.015226
33900.000000,   0.610306,   -0.037842,   0.014072
34221.000000,   0.614655,   -0.019531,   0.013218
34510.000000,   0.577957,   -0.026855,   0.012440
34802.000000,   0.587875,   -0.023193,   0.011689
35123.000000,   0.543854,   -0.023193,   0.011033
35412.000000,   0.533936,   -0.026855,   0.010477
35704.000000,   0.537979,   -0.015869,   0.009867
36032.000000,   0.524933,   -0.026855,   0.009409
36320.000000,   0.505020,   -0.030518,   0.009034
36609.000000,   0.467178,   -0.026855,   0.008610
36902.000000,   0.458786,   -0.023193,   0.008274
37192.000000,   0.460693,   -0.026855,   0.007889
37490.000000,   0.467331,   -0.023193,   0.007627
37752.000000,   0.450546,   -0.023193,   0.007261
38076.000000,   0.443070,   -0.023193,   0.006968
38414.000000,   0.409195,   -0.026855,   0.006763
38679.000000,   0.396607,   -0.026855,   0.006528
