t,   y,   u
0.000000,   -0.066269,   59.930420,   0.014887
335.000000,   -0.019577,   59.923096,   0.022938
422.000000,   -0.060699,   59.934082,   0.030491
526.000000,   -0.064285,   59.930420,   0.037302
621.000000,   -0.068710,   59.926758,   0.062922
1106.000000,   -0.031250,   59.934082,   0.074631
1402.000000,   -0.035827,   59.934082,   0.083347
1933.000000,   -0.053833,   59.937744,   0.097120
2227.000000,   -0.074814,   59.934082,   0.103153
2524.000000,   -0.029724,   59.934082,   0.109101
2852.000000,   -0.027435,   59.934082,   0.113407
3127.000000,   -0.013397,   59.926758,   0.118305
3474.000000,   -0.036209,   59.930420,   0.121561
3992.000000,   0.002472,   59.930420,   0.124805
4036.000000,   -0.020721,   59.934082,   0.127958
4366.000000,   -0.034454,   59.934082,   0.130549
4666.000000,   -0.012100,   59.930420,   0.133042
4998.000000,   0.005524,   59.946289,   0.135294
5327.000000,   0.026962,   59.926758,   0.137198
5634.000000,   0.030930,   59.915771,   0.139048
5966.000000,   0.031693,   59.937744,   0.140436
6237.000000,   0.030777,   59.930420,   0.142060
6585.000000,   0.040543,   59.934082,   0.143299
6872.000000,   0.057938,   59.934082,   0.144376
7147.000000,   0.083573,   59.934082,   0.145579
7475.000000,   0.034592,   59.934082,   0.146705
7805.000000,   0.032837,   59.937744,   0.147791
8154.000000,   0.075180,   59.934082,   0.148533
8406.000000,   0.075714,   59.930420,   0.149293
8704.000000,   0.074036,   59.926758,   0.150071
9233.000000,   0.098526,   59.937744,   0.151996
9826.000000,   0.088150,   59.946289,   0.152735
10176.000000,   0.105774,   59.930420,   0.153223
10428.000000,   0.117066,   59.930420,   0.153748
10720.000000,   0.081055,   59.930420,   0.154209
10972.000000,   0.126221,   59.930420,   0.154706
11228.000000,   0.127365,   59.934082,   0.155137
11519.000000,   0.127594,   59.930420,   0.155543
11770.000000,   0.091812,   59.934082,   0.156028
12262.000000,   0.124161,   59.923096,   0.156470
12382.000000,   0.102875,   59.937744,   0.156931
12711.000000,   0.120880,   59.941406,   0.157371
13241.000000,   0.158722,   59.934082,   0.158066
13583.000000,   0.152847,   59.934082,   0.158430
13882.000000,   0.135834,   59.915771,   0.158768
14172.000000,   0.181687,   59.937744,   0.159107
14498.000000,   0.121796,   59.926758,   0.159406
14751.000000,   0.183441,   59.934082,   0.159678
15026.000000,   0.172760,   59.930420,   0.160044
15373.000000,   0.170624,   59.941406,   0.160337
15648.000000,   0.204270,   59.934082,   0.160636
