t,   y,   u
0.000000,   -0.006378,   -0.026855,   -0.000125
345.000000,   -0.029114,   -0.030518,   -0.000125
546.000000,   -0.019729,   -0.026855,   -0.000125
621.000000,   -0.020874,   -0.026855,   -0.000115
1204.000000,   -0.014999,   -0.026855,   -0.000115
1464.000000,   -0.005386,   -0.026855,   -0.000152
1739.000000,   -0.026214,   -0.037842,   -0.000106
2074.000000,   -0.034836,   -0.030518,   -0.000125
2358.000000,   -0.011719,   -0.026855,   -0.000143
2612.000000,   -0.015915,   -0.023193,   -0.000143
2946.000000,   -0.029114,   -0.026855,   -0.000125
3217.000000,   -0.014999,   -0.030518,   -0.000134
3546.000000,   -0.037506,   -0.030518,   -0.000106
3837.000000,   -0.029343,   -0.034180,   -0.000125
4169.000000,   -0.006759,   -0.023193,   -0.000106
4684.000000,   -0.025833,   -0.026855,   -0.000106
4941.000000,   -0.020721,   -0.026855,   -0.000143
5241.000000,   -0.036209,   -0.026855,   -0.000106
5545.000000,   -0.030258,   -0.023193,   -0.000115
5877.000000,   -0.030639,   -0.030518,   -0.000115
6176.000000,   -0.029343,   -0.030518,   -0.000106
6501.000000,   -0.018432,   -0.034180,   -0.000134
6854.000000,   -0.035446,   -0.034180,   -0.000106
7202.000000,   -0.032165,   -0.030518,   -0.000106
7477.000000,   -0.008285,   -0.030518,   -0.000152
7806.000000,   -0.042312,   -0.026855,   -0.000125
8136.000000,   -0.040024,   -0.030518,   -0.000094
8439.000000,   -0.031402,   -0.026855,   -0.000125
8790.000000,   -0.032547,   -0.026855,   -0.000115
9050.000000,   -0.035065,   -0.034180,   -0.000106
9306.000000,   -0.045975,   -0.026855,   -0.000094
9618.000000,   -0.008438,   -0.030518,   -0.000134
9919.000000,   -0.010727,   -0.034180,   -0.000152
10215.000000,   -0.036362,   -0.030518,   -0.000106
10494.000000,   -0.021866,   -0.030518,   -0.000094
10849.000000,   -0.020721,   -0.026855,   -0.000106
11183.000000,   -0.018204,   -0.030518,   -0.000125
11449.000000,   -0.010193,   -0.030518,   -0.000134
11793.000000,   -0.025680,   -0.037842,   -0.000125
12123.000000,   -0.009582,   -0.034180,   -0.000134
12450.000000,   -0.031784,   -0.034180,   -0.000125
12714.000000,   -0.019958,   -0.026855,   -0.000115
12994.000000,   -0.045593,   -0.034180,   -0.000170
13312.000000,   -0.038650,   -0.030518,   -0.000085
13673.000000,   -0.037124,   -0.030518,   -0.000134
13989.000000,   -0.016296,   -0.023193,   -0.000143
14250.000000,   -0.012634,   -0.030518,   -0.000134
14608.000000,   -0.016144,   -0.034180,   -0.000134
14927.000000,   -0.037887,   -0.023193,   -0.000106
15261.000000,   -0.035599,   -0.030518,   -0.000106
15501.000000,   -0.023392,   -0.034180,   -0.000115
15798.000000,   -0.036972,   -0.037842,   -0.000115
16088.000000,   0.002243,   -0.026855,   -0.000152
16426.000000,   -0.010193,   -0.034180,   -0.000106
16760.000000,   -0.005768,   -0.030518,   -0.000125
17061.000000,   -0.044601,   -0.034180,   -0.000094
17411.000000,   -0.026977,   -0.030518,   -0.000115
17674.000000,   -0.038116,   -0.023193,   -0.000125
18040.000000,   -0.027435,   -0.034180,   -0.000076
18356.000000,   -0.032547,   -0.034180,   -0.000106
18659.000000,   -0.027206,   -0.030518,   -0.000106
18995.000000,   -0.028351,   -0.026855,   -0.000115
19524.000000,   -0.009048,   -0.026855,   -0.000115
19787.000000,   -0.017059,   29.843750,   -0.000189
20045.000000,   -0.037506,   29.901123,   0.011399
20340.000000,   -0.008438,   29.904785,   0.023743
20633.000000,   -0.010956,   29.904785,   0.031699
20951.000000,   -0.007522,   29.915771,   0.038203
21228.000000,   0.025208,   29.908447,   0.044770
21571.000000,   0.050461,   29.901123,   0.048643
21849.000000,   0.076706,   29.908447,   0.052527
22193.000000,   0.097382,   29.897461,   0.054713
22440.000000,   0.141937,   29.897461,   0.056730
22733.000000,   0.164902,   29.908447,   0.058579
23055.000000,   0.198166,   29.904785,   0.060004
23352.000000,   0.211746,   29.908447,   0.061112
23662.000000,   0.222275,   29.915771,   0.062162
23930.000000,   0.262253,   29.901123,   0.063120
24252.000000,   0.251953,   29.912109,   0.063853
24509.000000,   0.271484,   29.908447,   0.064554
24809.000000,   0.294983,   29.904785,   0.065092
25040.000000,   0.311234,   29.912109,   0.065671
25335.000000,   0.324051,   29.912109,   0.066273
25683.000000,   0.360596,   29.919434,   0.066685
25960.000000,   0.365021,   29.912109,   0.067164
26291.000000,   0.382569,   29.897461,   0.067576
26614.000000,   0.391571,   29.919434,   0.068000
26939.000000,   0.436203,   29.912109,   0.068299
27245.000000,   0.437500,   29.912109,   0.068616
27570.000000,   0.453751,   29.912109,   0.068900
27867.000000,   0.452072,   29.912109,   0.069172
28202.000000,   0.465042,   29.912109,   0.069425
28495.000000,   0.462372,   29.904785,   0.069669
28821.000000,   0.485718,   29.908447,   0.069932
29166.000000,   0.506546,   29.904785,   0.070081
29407.000000,   0.503494,   29.904785,   0.070270
29642.000000,   0.527985,   29.904785,   0.070429
29919.000000,   0.504868,   29.915771,   0.070646
30265.000000,   0.529511,   29.915771,   0.070786
30539.000000,   0.548660,   29.904785,   0.070954
30891.000000,   0.547897,   29.904785,   0.071085
31140.000000,   0.561707,   29.904785,   0.071189
31435.000000,   0.579865,   29.912109,   0.071311
31785.000000,   0.574295,   29.901123,   0.071442
32060.000000,   0.585816,   29.904785,   0.071516
32433.000000,   0.582153,   29.915771,   0.071647
32737.000000,   0.611221,   29.908447,   0.071696
33035.000000,   0.614502,   29.912109,   0.071769
33389.000000,   0.622513,   29.908447,   0.071845
33643.000000,   0.617172,   29.904785,   0.071912
33973.000000,   0.623276,   29.908447,   0.071940
34257.000000,   0.652573,   29.908447,   0.071912
34585.000000,   0.659287,   29.897461,   0.071882
34931.000000,   0.634033,   29.912109,   0.071873
35228.000000,   0.643723,   29.908447,   0.071818
35480.000000,   0.654862,   29.908447,   0.071799
35782.000000,   0.688889,   29.904785,   0.071750
36051.000000,   0.682785,   29.912109,   0.071863
36379.000000,   0.680649,   29.912109,   0.072071
36729.000000,   0.701935,   29.908447,   0.072098
37072.000000,   0.673020,   29.912109,   0.072184
37344.000000,   0.693085,   29.912109,   0.072153
37685.000000,   0.711319,   29.908447,   0.072202
