t,   y,   u
35651.000000,   0.113251,   -0.030518,   0.014316
35940.000000,   0.086243,   -0.023193,   0.013499
36191.000000,   0.137512,   -0.012207,   0.012644
36482.000000,   0.137131,   -0.030518,   0.011915
36758.000000,   0.089142,   -0.012207,   0.011097
37080.000000,   0.078766,   -0.019531,   0.010563
37332.000000,   0.136597,   -0.023193,   0.009934
37624.000000,   0.083725,   -0.019531,   0.009409
37910.000000,   0.110199,   -0.023193,   0.008939
38196.000000,   0.116074,   -0.026855,   0.008405
38516.000000,   0.109589,   -0.026855,   0.008039
38808.000000,   0.133316,   -0.030518,   0.007587
39126.000000,   0.109207,   -0.023193,   0.007233
39412.000000,   0.111115,   -0.023193,   0.006583
40010.000000,   0.092728,   -0.019531,   0.006248
40330.000000,   0.123551,   -0.023193,   0.005741
40936.000000,   0.060837,   -0.023193,   0.005524
41227.000000,   0.099060,   -0.019531,   0.005054
41832.000000,   0.078995,   -0.019531,   0.004941
42120.000000,   0.065567,   -0.026855,   0.004755
42372.000000,   0.131180,   -0.023193,   0.004557
42658.000000,   0.078232,   -0.030518,   0.004371
42978.000000,   0.118744,   -0.023193,   0.004249
43241.000000,   0.058853,   -0.026855,   0.004108
43564.000000,   0.106690,   -0.019531,   0.004005
43831.000000,   0.079910,   -0.019531,   0.003846
44118.000000,   0.040314,   -0.015869,   0.003770
44372.000000,   0.080673,   -0.030518,   0.003657
44658.000000,   0.108063,   -0.023193,   0.003498
44978.000000,   0.091202,   -0.026855,   0.003452
45240.000000,   0.118973,   -0.019531,   0.003290
45561.000000,   0.111496,   -0.030518,   0.003199
45863.000000,   0.110581,   -0.023193,   0.003095
46182.000000,   0.077622,   -0.023193,   0.003019
46432.000000,   0.087006,   -0.026855,   0.002955
46722.000000,   0.095627,   -0.019531,   0.002869
47012.000000,   0.087616,   -0.023193,   0.002756
47300.000000,   0.063889,   -0.023193,   0.002720
47618.000000,   0.057938,   -0.015869,   0.002671
47871.000000,   0.105774,   -0.026855,   0.002561
48160.000000,   0.095017,   -0.019531,   0.002494
48414.000000,   0.052216,   -0.019531,   0.002466
48678.000000,   0.089295,   -0.026855,   0.002399
48998.000000,   0.100205,   -0.026855,   0.002326
49261.000000,   0.050308,   -0.019531,   0.002286
49582.000000,   0.072510,   -0.023193,   0.002213
49883.000000,   0.099823,   59.919434,   0.007993
50168.000000,   0.057175,   59.930420,   0.049442
50771.000000,   0.098908,   59.926758,   0.062003
51055.000000,   0.083954,   59.937744,   0.071424
51314.000000,   0.081665,   59.937744,   0.081058
51634.000000,   0.108597,   59.926758,   0.087449
51892.000000,   0.065033,   59.919434,   0.094156
52207.000000,   0.102875,   59.946289,   0.100046
52548.000000,   0.068466,   59.930420,   0.104587
52868.000000,   0.115158,   59.926758,   0.107911
53130.000000,   0.061981,   59.934082,   0.110978
53418.000000,   0.101730,   59.934082,   0.113520
53678.000000,   0.101959,   59.937744,   0.116138
53995.000000,   0.085327,   59.934082,   0.118577
54334.000000,   0.138275,   59.926758,   0.120246
54592.000000,   0.096771,   59.926758,   0.122001
54909.000000,   0.108215,   59.923096,   0.123466
55190.000000,   0.105164,   59.923096,   0.126017
55793.000000,   0.166580,   59.941406,   0.126963
56052.000000,   0.146668,   59.937744,   0.127949
56340.000000,   0.169098,   59.926758,   0.128708
56592.000000,   0.135834,   59.934082,   0.129639
56932.000000,   0.175812,   59.941406,   0.130305
57190.000000,   0.141937,   59.941406,   0.130961
57474.000000,   0.183823,   59.923096,   0.131635
57789.000000,   0.202591,   59.930420,   0.132172
58056.000000,   0.154373,   59.930420,   0.132789
58394.000000,   0.169861,   59.930420,   0.133317
58716.000000,   0.211746,   59.937744,   0.133765
59002.000000,   0.187485,   59.930420,   0.134199
59289.000000,   0.177872,   59.934082,   0.134601
59603.000000,   0.232041,   59.930420,   0.134977
59915.000000,   0.189926,   0.283203,   0.131168
60176.000000,   0.235855,   -0.004883,   0.107328
60513.000000,   0.245773,   -0.023193,   0.090092
60828.000000,   0.202744,   -0.019531,   0.067032
61431.000000,   0.226090,   -0.012207,   0.058918
61715.000000,   0.223648,   -0.019531,   0.052640
