t,   y,   u
0.000000,   0.047791,   49.956055,   0.016669
443.000000,   0.005142,   49.940186,   0.021839
544.000000,   -0.019195,   49.936523,   0.027177
662.000000,   0.032837,   49.936523,   0.038248
961.000000,   0.014145,   49.940186,   0.045933
1212.000000,   0.009720,   49.940186,   0.053315
1504.000000,   0.016968,   49.948730,   0.058842
1773.000000,   -0.018814,   49.936523,   0.064564
2117.000000,   0.002243,   49.952393,   0.069041
2444.000000,   0.037644,   49.932861,   0.072211
2729.000000,   0.042984,   49.948730,   0.074894
3004.000000,   0.039398,   49.945068,   0.077784
3346.000000,   0.070908,   49.940186,   0.079896
3634.000000,   0.000183,   49.940186,   0.081620
3896.000000,   0.064652,   49.940186,   0.083546
4236.000000,   0.074570,   49.948730,   0.084876
4490.000000,   0.009720,   49.940186,   0.086255
4783.000000,   0.075714,   49.936523,   0.087644
5134.000000,   0.068619,   49.940186,   0.088593
5402.000000,   0.092194,   49.945068,   0.089557
5700.000000,   0.091431,   49.945068,   0.090507
6020.000000,   0.032684,   49.940186,   0.091181
6270.000000,   0.050461,   49.940186,   0.091846
6560.000000,   0.090057,   49.945068,   0.092411
6814.000000,   0.045120,   49.940186,   0.093122
7144.000000,   0.096924,   49.945068,   0.093687
7464.000000,   0.096771,   49.945068,   0.094117
7731.000000,   0.083191,   49.940186,   0.094663
8074.000000,   0.112106,   49.945068,   0.095048
8368.000000,   0.059464,   49.936523,   0.095450
8633.000000,   0.126450,   49.936523,   0.095798
8958.000000,   0.130036,   49.940186,   0.096192
9303.000000,   0.127976,   49.945068,   0.096473
9570.000000,   0.068848,   49.929199,   0.096802
9867.000000,   0.097534,   49.945068,   0.097074
10194.000000,   0.136978,   49.940186,   0.097288
10458.000000,   0.138657,   49.945068,   0.097581
10799.000000,   0.097534,   49.936523,   0.097816
11050.000000,   0.112106,   49.940186,   0.098020
11340.000000,   0.130036,   49.940186,   0.098160
11590.000000,   0.137360,   49.940186,   0.098368
11883.000000,   0.107681,   49.940186,   0.098554
12170.000000,   0.162232,   49.952393,   0.098725
12490.000000,   0.157959,   49.948730,   0.098884
12767.000000,   0.162003,   49.952393,   0.099073
13089.000000,   0.169632,   49.945068,   0.099183
13377.000000,   0.114014,   49.945068,   0.099381
13699.000000,   0.180924,   49.945068,   0.099448
13951.000000,   0.117981,   49.932861,   0.099558
14242.000000,   0.140946,   49.940186,   0.099711
14532.000000,   0.143463,   49.945068,   0.099833
14854.000000,   0.137741,   49.940186,   0.100001
15177.000000,   0.196030,   49.940186,   0.100065
15430.000000,   0.137360,   49.940186,   0.100208
15723.000000,   0.201599,   49.940186,   0.100254
16012.000000,   0.165436,   49.948730,   0.100376
