sys1_resRen_0013.rec ( 80148 Echant/voies ) Période acquisition :5ms
Date :9/19/2023 9:43:21 AM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	2.1045e-006	-2.2695e-002	4.9439e-006	
5.000000	5.7396e-006	-2.2695e-002	1.2170e-005	
10.000000	2.2959e-006	-2.6478e-002	1.2170e-005	
15.000000	0.0000e+000	-3.0261e-002	9.8878e-006	
20.000000	0.0000e+000	-3.4043e-002	1.1029e-005	
25.000000	4.7830e-006	-3.4043e-002	8.3666e-006	
30.000000	-9.5661e-007	-3.0261e-002	7.2257e-006	
35.000000	1.1479e-006	-3.0261e-002	1.2930e-005	
40.000000	-1.9132e-007	-2.2695e-002	1.2930e-005	
45.000000	2.6785e-006	-3.4043e-002	1.1409e-005	
50.000000	2.6785e-006	-1.8913e-002	7.2257e-006	
55.000000	5.7396e-006	-3.4043e-002	1.1409e-005	
60.000000	-1.3393e-006	-3.0261e-002	9.1272e-006	
65.000000	6.3136e-006	-3.0261e-002	3.8030e-006	
70.000000	2.4872e-006	-3.4043e-002	3.8030e-006	
75.000000	5.1657e-006	-2.6478e-002	4.9439e-006	
80.000000	5.1657e-006	-3.4043e-002	9.8878e-006	
85.000000	5.7396e-006	-3.0261e-002	9.5075e-006	
90.000000	1.1479e-006	-3.7826e-002	1.1409e-006	
95.000000	4.9744e-006	-3.7826e-002	4.5636e-006	
100.000000	6.8876e-006	-3.4043e-002	4.5636e-006	
105.000000	4.9744e-006	-2.6478e-002	9.8878e-006	
110.000000	4.9744e-006	-2.6478e-002	9.5075e-006	
115.000000	9.1834e-006	-3.0261e-002	9.1272e-006	
120.000000	6.8876e-006	-2.2695e-002	4.5636e-006	
125.000000	8.0355e-006	-2.2695e-002	3.0424e-006	
130.000000	8.9921e-006	-3.4043e-002	3.0424e-006	
135.000000	2.1045e-006	-3.0261e-002	5.3242e-006	
140.000000	2.1045e-006	-2.6478e-002	7.6060e-006	
145.000000	3.2525e-006	-2.6478e-002	3.8030e-006	
150.000000	-2.2959e-006	-2.6478e-002	2.6621e-006	
155.000000	1.9132e-007	-2.6478e-002	3.4227e-006	
160.000000	1.9132e-007	-3.4043e-002	3.4227e-006	
165.000000	-9.5661e-007	-3.7826e-002	-3.8030e-007	
170.000000	-9.5661e-007	-2.2695e-002	3.8030e-007	
175.000000	-1.7219e-006	-1.8913e-002	2.2818e-006	
180.000000	4.7830e-006	-3.7826e-002	6.4651e-006	
185.000000	-2.6785e-006	-3.7826e-002	-3.8030e-007	
190.000000	-3.8264e-007	-4.1608e-002	-3.8030e-007	
195.000000	1.3393e-006	-3.7826e-002	7.2257e-006	
200.000000	1.3393e-006	-3.4043e-002	1.2170e-005	
205.000000	-3.0611e-006	-3.0261e-002	6.8454e-006	
210.000000	-4.7830e-006	-4.1608e-002	7.6060e-006	
215.000000	-5.7396e-006	-4.1608e-002	1.0648e-005	
220.000000	-8.4182e-006	-3.0261e-002	1.0648e-005	
225.000000	-3.4438e-006	-3.4043e-002	1.2930e-005	
230.000000	-3.4438e-006	-2.2695e-002	4.9439e-006	
235.000000	-4.5917e-006	-3.0261e-002	9.1272e-006	
240.000000	-1.9132e-007	-2.6478e-002	1.0268e-005	
245.000000	-5.5483e-006	-2.6478e-002	1.2170e-005	
250.000000	-8.0355e-006	-4.1608e-002	1.2170e-005	
255.000000	-8.0355e-006	-3.0261e-002	1.5973e-005	
260.000000	-8.0355e-006	-4.1608e-002	1.5212e-005	
265.000000	-6.1223e-006	-3.4043e-002	1.5592e-005	
270.000000	-1.3010e-005	-3.7826e-002	1.4832e-005	
275.000000	-6.3136e-006	-3.7826e-002	1.8254e-005	
280.000000	-9.9487e-006	-2.6478e-002	1.8254e-005	
285.000000	-7.8442e-006	-3.0261e-002	1.7114e-005	
290.000000	-7.8442e-006	-2.6478e-002	1.1409e-005	
295.000000	-5.7396e-006	-3.4043e-002	2.0917e-005	
300.000000	-5.3570e-006	-2.6478e-002	2.1677e-005	
305.000000	-6.8876e-006	-2.6478e-002	2.3959e-005	
310.000000	-6.1223e-006	-3.0261e-002	2.3959e-005	
315.000000	-3.0611e-006	-3.4043e-002	2.3579e-005	
320.000000	-3.0611e-006	-4.1608e-002	2.7762e-005	
325.000000	-6.8876e-006	-3.4043e-002	2.8523e-005	
330.000000	-7.0789e-006	-2.6478e-002	2.4720e-005	
335.000000	-1.1479e-006	-2.6478e-002	2.5860e-005	
340.000000	-4.0178e-006	-3.4043e-002	2.5860e-005	
345.000000	0.0000e+000	-2.6478e-002	2.3198e-005	
350.000000	0.0000e+000	-3.0261e-002	2.2438e-005	
355.000000	-3.6351e-006	-2.6478e-002	2.3579e-005	
360.000000	3.4438e-006	-3.7826e-002	2.0156e-005	
365.000000	7.6529e-007	-3.7826e-002	1.6353e-005	
370.000000	-1.9132e-007	-3.0261e-002	1.6353e-005	
375.000000	2.8698e-006	-3.0261e-002	2.5100e-005	
380.000000	2.8698e-006	-3.0261e-002	1.9015e-005	
385.000000	7.6529e-007	-2.2695e-002	1.5592e-005	
390.000000	2.2959e-006	-2.6478e-002	1.8635e-005	
395.000000	6.1223e-006	-2.6478e-002	1.5592e-005	
400.000000	3.4438e-006	-3.0261e-002	1.5592e-005	
405.000000	8.9921e-006	-2.6478e-002	1.7114e-005	
410.000000	8.9921e-006	-2.6478e-002	1.4071e-005	
415.000000	6.8876e-006	-4.1608e-002	1.5212e-005	
420.000000	1.0905e-005	-3.4043e-002	1.3691e-005	
425.000000	1.0140e-005	-3.4043e-002	1.2930e-005	
430.000000	1.1862e-005	-3.7826e-002	1.2930e-005	
435.000000	1.1862e-005	-3.4043e-002	1.7494e-005	
440.000000	1.1862e-005	-3.4043e-002	1.5592e-005	
445.000000	1.5880e-005	-2.6478e-002	1.2550e-005	
450.000000	1.3775e-005	-2.6478e-002	1.2170e-005	
455.000000	1.4540e-005	-2.6478e-002	6.0848e-006	
460.000000	1.3775e-005	-3.0261e-002	6.0848e-006	
465.000000	1.5306e-005	-3.4043e-002	8.7469e-006	
470.000000	1.5306e-005	-2.6478e-002	7.9863e-006	
475.000000	1.6262e-005	-3.7826e-002	4.9439e-006	
480.000000	1.2819e-005	-2.6478e-002	1.5212e-006	
485.000000	1.2627e-005	-2.6478e-002	4.5636e-006	
490.000000	1.3584e-005	-2.6478e-002	4.5636e-006	
495.000000	5.7396e-006	-3.4043e-002	1.1409e-006	
500.000000	5.7396e-006	-3.0261e-002	1.9015e-006	
505.000000	1.0331e-005	-3.4043e-002	7.6060e-007	
510.000000	1.3393e-005	-3.0261e-002	-3.8030e-007	
515.000000	7.6529e-006	-3.0261e-002	0.0000e+000	
520.000000	7.2702e-006	-2.6478e-002	0.0000e+000	
525.000000	1.0714e-005	-3.0261e-002	-1.9015e-006	
530.000000	1.0714e-005	-3.7826e-002	-1.9015e-006	
535.000000	1.2053e-005	-2.6478e-002	1.1409e-006	
540.000000	1.1288e-005	-4.1608e-002	-7.6060e-007	
