t,   y,   u
0.000000,   -0.010574,   19.918213,   0.006687
412.000000,   -0.046890,   19.910889,   0.010364
576.000000,   -0.015533,   19.925537,   0.012476
690.000000,   -0.017059,   19.929199,   0.016859
990.000000,   -0.021866,   19.929199,   0.019587
1255.000000,   -0.010574,   19.925537,   0.021943
1578.000000,   0.011093,   19.921875,   0.024204
2085.000000,   0.037491,   19.918213,   0.026194
2814.000000,   0.038635,   19.914551,   0.026905
3104.000000,   0.061600,   19.918213,   0.027497
3380.000000,   0.069763,   19.921875,   0.028126
3708.000000,   0.079910,   19.918213,   0.028651
4008.000000,   0.106308,   19.929199,   0.029185
4336.000000,   0.095017,   19.914551,   0.029560
4639.000000,   0.130036,   19.918213,   0.029935
4970.000000,   0.128357,   19.914551,   0.030265
5303.000000,   0.108826,   19.918213,   0.030491
5552.000000,   0.144989,   19.925537,   0.030771
5849.000000,   0.124542,   19.918213,   0.030997
6147.000000,   0.145523,   19.921875,   0.031232
6470.000000,   0.169480,   19.925537,   0.031455
6816.000000,   0.168869,   19.925537,   0.031608
7092.000000,   0.158951,   19.921875,   0.031794
7440.000000,   0.158188,   19.914551,   0.031907
7693.000000,   0.170395,   19.910889,   0.032075
7984.000000,   0.184586,   19.921875,   0.032224
8311.000000,   0.187485,   19.918213,   0.032310
8612.000000,   0.210068,   19.925537,   0.032441
8910.000000,   0.205261,   19.918213,   0.032545
9187.000000,   0.195267,   19.918213,   0.032685
9537.000000,   0.215943,   19.918213,   0.032780
9812.000000,   0.215561,   -0.008545,   0.032142
10160.000000,   0.229523,   -0.023193,   0.025330
10492.000000,   0.205414,   -0.026855,   0.019343
10839.000000,   0.233185,   -0.019531,   0.016041
11115.000000,   0.229370,   -0.019531,   0.012861
11458.000000,   0.196640,   -0.019531,   0.010599
11791.000000,   0.188019,   -0.019531,   0.008985
12116.000000,   0.192063,   -0.015869,   0.007841
12412.000000,   0.168717,   -0.015869,   0.006837
12741.000000,   0.173676,   -0.012207,   0.006153
13014.000000,   0.158951,   -0.008545,   0.005488
13359.000000,   0.169632,   -0.019531,   0.004886
13690.000000,   0.143463,   -0.023193,   0.004456
14014.000000,   0.149567,   -0.023193,   0.004163
14290.000000,   0.118363,   -0.015869,   0.003779
14616.000000,   0.108215,   -0.019531,   0.003507
14914.000000,   0.139038,   -0.012207,   0.003312
15250.000000,   0.111344,   -0.030518,   0.003058
15550.000000,   0.098526,   -0.034180,   0.002897
15880.000000,   0.111344,   -0.026855,   0.002701
16209.000000,   0.101730,   -0.015869,   0.002561
16484.000000,   0.070374,   -0.019531,   0.002418
16812.000000,   0.102341,   -0.008545,   0.002326
17114.000000,   0.062363,   -0.015869,   0.002195
17450.000000,   0.078003,   -0.034180,   0.002091
17750.000000,   0.086472,   -0.012207,   0.001911
18377.000000,   0.079529,   -0.023193,   0.001789
18930.000000,   0.067093,   -0.023193,   0.001670
19270.000000,   0.058319,   -0.030518,   0.001584
19547.000000,   0.040695,   -0.019531,   0.001472
19900.000000,   0.057938,   19.921875,   0.004285
20231.000000,   0.052979,   19.921875,   0.011011
20510.000000,   0.059235,   19.925537,   0.016566
20838.000000,   0.082199,   19.918213,   0.019709
21270.000000,   0.082047,   19.925537,   0.021876
21353.000000,   0.068085,   19.914551,   0.023893
21843.000000,   0.083191,   19.914551,   0.026530
22180.000000,   0.102112,   19.921875,   0.027665
22504.000000,   0.105927,   19.914551,   0.028464
22802.000000,   0.130417,   19.921875,   0.029224
23127.000000,   0.137360,   19.918213,   0.029758
23423.000000,   0.153229,   19.921875,   0.030256
23747.000000,   0.134079,   19.921875,   0.030735
24094.000000,   0.168335,   19.918213,   0.031043
24388.000000,   0.166580,   19.910889,   0.031315
24684.000000,   0.175430,   19.914551,   0.031559
25008.000000,   0.189392,   19.918213,   0.031861
25302.000000,   0.204117,   19.918213,   0.032056
25630.000000,   0.187256,   19.918213,   0.032215
25900.000000,   0.210831,   19.918213,   0.032404
26226.000000,   0.217697,   19.921875,   0.032599
26575.000000,   0.214035,   19.921875,   0.032740
26908.000000,   0.225937,   19.918213,   0.032816
27180.000000,   0.222122,   19.918213,   0.032984
27506.000000,   0.238754,   19.914551,   0.033069
27806.000000,   0.220902,   19.918213,   0.033173
28130.000000,   0.254395,   19.921875,   0.033286
28402.000000,   0.260346,   19.925537,   0.033350
28656.000000,   0.231049,   19.914551,   0.033436
28960.000000,   0.244629,   19.918213,   0.033491
29231.000000,   0.250809,   19.925537,   0.033576
29578.000000,   0.282929,   19.921875,   0.033661
30152.000000,   0.267441,   -0.023193,   0.027216
30437.000000,   0.268738,   -0.023193,   0.022431
30692.000000,   0.274155,   -0.023193,   0.017316
31060.000000,   0.260574,   -0.012207,   0.014530
31335.000000,   0.253098,   -0.019531,   0.012064
31892.000000,   0.236466,   -0.023193,   0.010627
31912.000000,   0.238373,   -0.023193,   0.009342
32184.000000,   0.244476,   -0.023193,   0.008103
32519.000000,   0.238907,   -0.026855,   0.007297
32794.000000,   0.231049,   -0.019531,   0.006528
33122.000000,   0.216705,   -0.015869,   0.006013
33393.000000,   0.212738,   -0.019531,   0.005421
33719.000000,   0.186722,   -0.023193,   0.005063
33994.000000,   0.185959,   -0.023193,   0.004615
34340.000000,   0.175583,   -0.023193,   0.004343
34614.000000,   0.185196,   -0.015869,   0.003995
34960.000000,   0.162384,   -0.019531,   0.003760
35260.000000,   0.148270,   -0.026855,   0.003574
35512.000000,   0.148041,   -0.015869,   0.003394
