t,   y,   u
0.000000,   -0.067032,   59.934082,   0.020713
383.000000,   -0.055740,   59.937744,   0.023499
418.000000,   -0.016144,   59.934082,   0.034879
576.000000,   -0.049789,   59.937744,   0.037479
613.000000,   -0.012863,   59.937744,   0.057810
1193.000000,   -0.011490,   59.937744,   0.068262
1242.000000,   -0.053833,   59.934082,   0.078083
1732.000000,   -0.033157,   59.930420,   0.091584
2070.000000,   -0.032776,   59.934082,   0.096342
2322.000000,   0.005524,   59.934082,   0.101041
2612.000000,   -0.000427,   59.934082,   0.104569
2862.000000,   -0.024536,   59.923096,   0.108164
3151.000000,   -0.021484,   59.930420,   0.111182
3429.000000,   -0.039032,   59.930420,   0.114243
3750.000000,   0.007584,   59.930420,   0.117084
4089.000000,   -0.010574,   59.934082,   0.119056
4354.000000,   0.012619,   59.930420,   0.121128
4669.000000,   0.036881,   59.937744,   0.122553
4921.000000,   0.001480,   59.941406,   0.124045
5420.000000,   0.051453,   59.930420,   0.126478
5752.000000,   0.014679,   59.937744,   0.127424
6001.000000,   0.013916,   59.930420,   0.128473
6292.000000,   0.071518,   59.941406,   0.129374
6575.000000,   0.027344,   59.930420,   0.130314
6919.000000,   0.042984,   59.934082,   0.131861
7526.000000,   0.060837,   59.926758,   0.132453
7819.000000,   0.045654,   59.934082,   0.133024
8088.000000,   0.052979,   59.934082,   0.133570
8384.000000,   0.099289,   59.930420,   0.134113
8706.000000,   0.091965,   59.934082,   0.134620
8993.000000,   0.055649,   59.937744,   0.135071
9313.000000,   0.074417,   59.930420,   0.135444
9604.000000,   0.125839,   59.930420,   0.135810
9896.000000,   0.113022,   59.937744,   0.136207
10218.000000,   0.124161,   59.937744,   0.136487
10490.000000,   0.138123,   59.937744,   0.136854
10829.000000,   0.084946,   59.934082,   0.137180
11144.000000,   0.135223,   59.930420,   0.137452
11462.000000,   0.096924,   59.930420,   0.137687
11721.000000,   0.140946,   59.926758,   0.137894
12009.000000,   0.171768,   59.934082,   0.138148
12270.000000,   0.145752,   59.926758,   0.138392
12608.000000,   0.111115,   59.937744,   0.138550
12870.000000,   0.162232,   59.930420,   0.138776
13189.000000,   0.119126,   59.941406,   0.138944
13450.000000,   0.149033,   59.934082,   0.139142
13769.000000,   0.135452,   59.934082,   0.139319
