sys1_isoBas_0003.rec ( 6089 Echant/voies ) Période acquisition :100ms
Date :24/07/2023 17:47:08
Temps	y_back[V]	u[V]	phi[V]	y_front[V]	
0,000000	-6,3710e-005	-3,0261e-002	-1,8764e-004	-9,5661e-006	
100,000000	-4,3047e-005	-2,2695e-002	-1,5949e-004	-1,7602e-005	
200,000000	-1,7219e-005	-2,6478e-002	-1,8764e-004	-3,0420e-005	
300,000000	-1,8558e-005	-2,6478e-002	-1,6887e-004	-5,3187e-005	
400,000000	4,7830e-006	-2,6478e-002	-1,4073e-004	-6,2945e-005	
500,000000	-6,3136e-006	-1,8913e-002	-1,5949e-004	-4,7639e-005	
600,000000	-3,4055e-005	-2,6478e-002	-1,4073e-004	-4,3239e-005	
700,000000	-3,5012e-005	-2,2695e-002	-1,6887e-004	-1,2053e-005	
800,000000	-5,9118e-005	-2,2695e-002	-1,6887e-004	-2,2959e-005	
900,000000	-3,5395e-005	-3,4043e-002	-1,8764e-004	-1,3966e-005	
1000,000000	-1,9132e-005	-3,0261e-002	-1,5011e-004	-3,7308e-005	
1100,000000	-1,2819e-005	-1,5130e-002	-1,5949e-004	-5,7970e-005	
1200,000000	-2,0089e-005	-3,0261e-002	-1,5949e-004	-6,0458e-005	
1300,000000	-4,8978e-005	-1,5130e-002	-1,1258e-004	-6,1032e-005	
1400,000000	-4,0943e-005	-2,6478e-002	-1,8764e-004	-2,2193e-005	
1500,000000	-5,2613e-005	-2,2695e-002	-1,9702e-004	-1,6454e-005	
1600,000000	-2,6402e-005	-3,0261e-002	-1,4073e-004	-1,4349e-005	
1700,000000	-3,2525e-006	-3,4043e-002	-1,6887e-004	-3,7308e-005	
1800,000000	-7,8442e-006	-1,8913e-002	-1,4073e-004	-5,6823e-005	
1900,000000	-2,3533e-005	-2,2695e-002	-1,3135e-004	-6,8493e-005	
2000,000000	-5,8353e-005	-2,2695e-002	-1,5011e-004	-3,7499e-005	
2100,000000	-4,1134e-005	-2,2695e-002	-1,8764e-004	-1,7793e-005	
2200,000000	-4,3813e-005	-1,8913e-002	-1,8764e-004	-2,8698e-006	
2300,000000	-7,0789e-006	-3,0261e-002	-1,7826e-004	-1,4158e-005	
2400,000000	2,1045e-006	-2,2695e-002	-1,2196e-004	-4,2091e-005	
2500,000000	-1,1097e-005	-3,0261e-002	-1,3135e-004	-4,1517e-005	
2600,000000	-3,6925e-005	-2,2695e-002	-1,4073e-004	-6,1032e-005	
2700,000000	-6,7154e-005	-3,4043e-002	-1,4073e-004	-2,5254e-005	
2800,000000	-4,9170e-005	-2,6478e-002	-1,8764e-004	-2,6594e-005	
2900,000000	-3,2716e-005	-1,5130e-002	-1,5949e-004	-3,0611e-006	
3000,000000	1,0140e-005	-1,8913e-002	-1,6887e-004	-3,2907e-005	
3100,000000	-1,5306e-006	-2,2695e-002	-1,4073e-004	-3,9412e-005	
3200,000000	-1,8558e-005	-3,4043e-002	-1,2196e-004	-3,0611e-005	
3300,000000	-4,8404e-005	-3,0261e-002	-1,5949e-004	-5,1466e-005	
3400,000000	-6,6197e-005	-3,0261e-002	-1,8764e-004	-2,6402e-005	
3500,000000	-4,8404e-005	-2,2695e-002	-1,5949e-004	-2,3341e-005	
3600,000000	-4,3813e-005	-3,4043e-002	-1,7826e-004	-3,0611e-006	
3700,000000	-8,2268e-006	-2,6478e-002	-1,5011e-004	-2,2385e-005	
3800,000000	4,0178e-006	-2,2695e-002	-1,5011e-004	-4,7830e-005	
3900,000000	-1,0140e-005	-2,2695e-002	-1,3135e-004	-5,2422e-005	
4000,000000	-2,6594e-005	-3,4043e-002	-1,6887e-004	-6,5815e-005	
