t,   y,   u
0.000000,   -0.000055,   59.934082,   0.006552
461.000000,   -0.000016,   59.934082,   0.009451
567.000000,   -0.000040,   59.934082,   0.014796
898.000000,   0.000001,   59.934082,   0.017562
1154.000000,   -0.000041,   59.937744,   0.020210
1499.000000,   -0.000016,   59.923096,   0.021823
1812.000000,   -0.000054,   59.930420,   0.022949
2102.000000,   -0.000035,   59.934082,   0.023989
2399.000000,   0.000015,   59.934082,   0.024615
2691.000000,   -0.000030,   59.934082,   0.025098
2986.000000,   0.000036,   59.941406,   0.025496
3242.000000,   -0.000027,   59.946289,   0.025863
3508.000000,   0.000013,   59.930420,   0.026198
3758.000000,   0.000031,   59.941406,   0.026482
4019.000000,   0.000020,   59.934082,   0.026854
4360.000000,   0.000049,   59.930420,   0.027245
4712.000000,   0.000066,   59.937744,   0.027567
5036.000000,   0.000026,   59.934082,   0.027828
5358.000000,   0.000072,   59.934082,   0.028037
5625.000000,   0.000053,   59.941406,   0.028152
5877.000000,   0.000007,   59.941406,   0.028193
6197.000000,   0.000025,   59.934082,   0.028276
6550.000000,   0.000099,   59.941406,   0.028348
6777.000000,   0.000039,   59.926758,   0.028500
7112.000000,   0.000038,   59.926758,   0.028652
7461.000000,   0.000081,   59.930420,   0.028735
7709.000000,   0.000055,   59.934082,   0.028883
8209.000000,   0.000113,   59.930420,   0.029146
8617.000000,   0.000071,   59.937744,   0.029252
8918.000000,   0.000072,   59.937744,   0.029354
9190.000000,   0.000090,   59.930420,   0.029471
9500.000000,   0.000148,   59.946289,   0.029574
9768.000000,   0.000111,   59.934082,   0.029722
10087.000000,   0.000104,   59.934082,   0.029794
10373.000000,   0.000120,   59.930420,   0.029871
10656.000000,   0.000128,   59.923096,   0.029999
10978.000000,   0.000092,   59.934082,   0.030078
11241.000000,   0.000125,   59.934082,   0.030170
11559.000000,   0.000172,   59.930420,   0.030249
11899.000000,   0.000160,   59.937744,   0.030375
12170.000000,   0.000133,   59.941406,   0.030447
12481.000000,   0.000186,   59.941406,   0.030496
12801.000000,   0.000140,   59.930420,   0.030621
13123.000000,   0.000194,   59.930420,   0.030656
13396.000000,   0.000137,   59.934082,   0.030769
13663.000000,   0.000199,   59.934082,   0.030814
13915.000000,   0.000150,   59.946289,   0.030872
14221.000000,   0.000149,   59.926758,   0.030978
14717.000000,   0.000150,   59.926758,   0.031057
15044.000000,   0.000214,   59.934082,   0.031104
15296.000000,   0.000158,   59.934082,   0.031176
15610.000000,   0.000163,   59.934082,   0.031221
15856.000000,   0.000181,   59.930420,   0.031259
16147.000000,   0.000238,   59.934082,   0.031342
16435.000000,   0.000178,   59.930420,   0.031406
16973.000000,   0.000239,   59.930420,   0.031505
17241.000000,   0.000180,   59.937744,   0.031559
17595.000000,   0.000236,   59.926758,   0.031581
17813.000000,   0.000203,   59.937744,   0.031638
18350.000000,   0.000255,   59.937744,   0.031741
18622.000000,   0.000239,   59.941406,   0.031813
18946.000000,   0.000231,   59.930420,   0.031813
19237.000000,   0.000233,   59.934082,   0.031858
19574.000000,   0.000211,   59.937744,   0.031953
19867.000000,   0.000220,   59.930420,   0.031998
20149.000000,   0.000228,   59.946289,   0.032014
20438.000000,   0.000229,   59.934082,   0.032067
20758.000000,   0.000229,   59.934082,   0.032112
21015.000000,   0.000241,   59.937744,   0.032124
21297.000000,   0.000297,   59.934082,   0.032169
21634.000000,   0.000292,   59.930420,   0.032207
21895.000000,   0.000287,   59.934082,   0.032257
22178.000000,   0.000279,   59.930420,   0.032286
22436.000000,   0.000270,   59.930420,   0.032340
22714.000000,   0.000293,   59.930420,   0.032393
23008.000000,   0.000300,   59.934082,   0.032419
23327.000000,   0.000331,   59.930420,   0.032446
23594.000000,   0.000340,   59.926758,   0.032488
23879.000000,   0.000304,   59.937744,   0.032538
24130.000000,   0.000275,   59.946289,   0.032571
24432.000000,   0.000301,   59.926758,   0.032583
24677.000000,   0.000299,   59.937744,   0.032617
24962.000000,   0.000298,   59.937744,   0.032662
25287.000000,   0.000358,   59.934082,   0.032711
25632.000000,   0.000364,   59.930420,   0.032742
25948.000000,   0.000330,   59.934082,   0.032780
26217.000000,   0.000325,   59.937744,   0.032822
26534.000000,   0.000294,   59.930420,   0.032860
26854.000000,   0.000326,   59.934082,   0.032878
27114.000000,   0.000360,   59.937744,   0.032902
27434.000000,   0.000363,   59.934082,   0.032988
27777.000000,   0.000399,   59.934082,   0.033011
28047.000000,   0.000354,   59.934082,   0.033053
28375.000000,   0.000325,   59.941406,   0.033091
28694.000000,   0.000323,   59.923096,   0.033145
28953.000000,   0.000383,   59.934082,   0.033141
29262.000000,   0.000390,   59.937744,   0.033182
29589.000000,   0.000384,   59.930420,   0.033217
29842.000000,   0.000394,   5.106201,   0.033217
30096.000000,   0.000370,   -0.030518,   0.026849
30417.000000,   0.000363,   -0.019531,   0.021705
30676.000000,   0.000387,   -0.023193,   0.016785
31020.000000,   0.000433,   -0.019531,   0.013484
31362.000000,   0.000420,   -0.019531,   0.011492
31602.000000,   0.000435,   -0.015869,   0.009636
31922.000000,   0.000397,   -0.026855,   0.008281
32229.000000,   0.000402,   -0.015869,   0.007181
32573.000000,   0.000375,   -0.023193,   0.005853
33177.000000,   0.000362,   -0.030518,   0.005360
33451.000000,   0.000389,   -0.030518,   0.004996
33716.000000,   0.000348,   -0.015869,   0.004583
34287.000000,   0.000346,   -0.030518,   0.004302
34393.000000,   0.000359,   -0.023193,   0.004037
34637.000000,   0.000373,   -0.023193,   0.003839
34930.000000,   0.000413,   -0.023193,   0.003600
35249.000000,   0.000401,   -0.026855,   0.003422
35534.000000,   0.000389,   -0.023193,   0.003232
35854.000000,   0.000339,   -0.015869,   0.003110
36175.000000,   0.000408,   -0.030518,   0.002977
36437.000000,   0.000361,   -0.030518,   0.002856
36780.000000,   0.000386,   -0.026855,   0.002709
37075.000000,   0.000322,   -0.023193,   0.002637
37338.000000,   0.000350,   -0.026855,   0.002549
37707.000000,   0.000339,   -0.034180,   0.002419
37999.000000,   0.000373,   -0.030518,   0.002367
38306.000000,   0.000320,   -0.030518,   0.002192
38843.000000,   0.000322,   -0.023193,   0.002178
39100.000000,   0.000380,   -0.030518,   0.002075
39423.000000,   0.000338,   -0.019531,   0.002025
39697.000000,   0.000355,   -0.019531,   0.001957
40020.000000,   0.000380,   -0.023193,   0.001877
40320.000000,   0.000382,   -0.030518,   0.001813
40593.000000,   0.000337,   -0.026855,   0.001752
40855.000000,   0.000351,   -0.030518,   0.001730
