t,   y,   u
50518.000000,   0.000420,   -0.030518,   0.014182
50865.000000,   0.000430,   -0.015869,   0.010975
51162.000000,   0.000423,   -0.019531,   0.008832
51661.000000,   0.000485,   -0.019531,   0.006119
51954.000000,   0.000482,   -0.015869,   0.005106
52277.000000,   0.000465,   -0.023193,   0.004446
52542.000000,   0.000491,   -0.015869,   0.003873
53033.000000,   0.000432,   -0.026855,   0.003186
53373.000000,   0.000476,   -0.012207,   0.002883
53644.000000,   0.000462,   -0.012207,   0.002637
53989.000000,   0.000447,   -0.019531,   0.002435
54261.000000,   0.000400,   -0.019531,   0.002279
54587.000000,   0.000456,   -0.026855,   0.002131
54857.000000,   0.000394,   -0.023193,   0.001987
55204.000000,   0.000405,   -0.015869,   0.001915
55476.000000,   0.000434,   -0.030518,   0.001820
55759.000000,   0.000445,   -0.023193,   0.001707
56084.000000,   0.000453,   -0.019531,   0.001669
56354.000000,   0.000417,   -0.019531,   0.001611
56680.000000,   0.000382,   -0.019531,   0.001536
56950.000000,   0.000395,   -0.015869,   0.001479
57278.000000,   0.000385,   -0.023193,   0.001426
57574.000000,   0.000387,   -0.019531,   0.001370
57898.000000,   0.000448,   -0.019531,   0.001285
58163.000000,   0.000443,   -0.026855,   0.001282
58450.000000,   0.000389,   -0.023193,   0.001202
58975.000000,   0.000421,   -0.015869,   0.001168
59026.000000,   0.000409,   -0.008545,   0.001122
59312.000000,   0.000361,   -0.026855,   0.001118
59562.000000,   0.000390,   -0.023193,   0.001069
59851.000000,   0.000426,   -0.019531,   0.001021
60175.000000,   0.000418,   -0.012207,   0.000974
60471.000000,   0.000376,   -0.015869,   0.000974
60799.000000,   0.000424,   -0.023193,   0.000925
61072.000000,   0.000434,   -0.019531,   0.000887
61411.000000,   0.000391,   -0.015869,   0.000891
61704.000000,   0.000356,   -0.019531,   0.000880
61970.000000,   0.000433,   -0.019531,   0.000830
62231.000000,   0.000365,   -0.015869,   0.000826
62558.000000,   0.000419,   -0.023193,   0.000774
62831.000000,   0.000345,   -0.019531,   0.000781
63158.000000,   0.000342,   -0.019531,   0.000778
63453.000000,   0.000410,   -0.026855,   0.000717
63740.000000,   0.000406,   -0.015869,   0.000686
64015.000000,   0.000419,   -0.019531,   0.000659
64362.000000,   0.000375,   -0.034180,   0.000671
64647.000000,   0.000341,   -0.015869,   0.000679
64921.000000,   0.000384,   -0.023193,   0.000645
65266.000000,   0.000415,   -0.023193,   0.000594
65556.000000,   0.000386,   -0.019531,   0.000618
65829.000000,   0.000371,   -0.026855,   0.000587
66172.000000,   0.000408,   -0.026855,   0.000549
66442.000000,   0.000401,   -0.026855,   0.000527
66738.000000,   0.000396,   -0.019531,   0.000538
67009.000000,   0.000418,   -0.019531,   0.000500
67556.000000,   0.000384,   -0.015869,   0.000500
67905.000000,   0.000368,   -0.008545,   0.000485
68246.000000,   0.000367,   -0.030518,   0.000493
68538.000000,   0.000346,   -0.023193,   0.000470
68810.000000,   0.000341,   -0.019531,   0.000443
69152.000000,   0.000354,   -0.019531,   0.000447
69444.000000,   0.000379,   -0.015869,   0.000439
69720.000000,   0.000341,   -0.019531,   0.000413
70042.000000,   0.000375,   -0.019531,   0.000382
70384.000000,   0.000377,   -0.026855,   0.000398
70642.000000,   0.000404,   -0.012207,   0.000353
70933.000000,   0.000363,   -0.012207,   0.000360
71184.000000,   0.000374,   -0.019531,   0.000333
71475.000000,   0.000374,   -0.019531,   0.000333
71775.000000,   0.000407,   -0.008545,   0.000299
72099.000000,   0.000394,   -0.012207,   0.000303
72374.000000,   0.000379,   -0.026855,   0.000295
72700.000000,   0.000372,   -0.015869,   0.000299
73044.000000,   0.000340,   -0.015869,   0.000310
73370.000000,   0.000395,   -0.012207,   0.000261
73643.000000,   0.000403,   -0.019531,   0.000258
74136.000000,   0.000402,   -0.026855,   0.000238
74472.000000,   0.000326,   -0.015869,   0.000254
74769.000000,   0.000396,   -0.019531,   0.000231
75096.000000,   0.000346,   -0.008545,   0.000254
75369.000000,   0.000387,   -0.026855,   0.000200
75695.000000,   0.000357,   -0.015869,   0.000220
76015.000000,   0.000383,   -0.030518,   0.000212
76320.000000,   0.000376,   -0.023193,   0.000204
76609.000000,   0.000344,   -0.015869,   0.000189
76934.000000,   0.000324,   -0.023193,   0.000193
77256.000000,   0.000378,   -0.023193,   0.000159
77530.000000,   0.000403,   -0.015869,   0.000162
77872.000000,   0.000347,   -0.023193,   0.000197
78145.000000,   0.000379,   -0.023193,   0.000166
78434.000000,   0.000340,   -0.026855,   0.000155
78708.000000,   0.000391,   -0.015869,   0.000117
79036.000000,   0.000331,   -0.015869,   0.000148
79358.000000,   0.000339,   -0.023193,   0.000098
79857.000000,   0.000347,   59.937744,   0.000808
80142.000000,   0.000323,   59.941406,   0.006852
80431.000000,   0.000371,   59.937744,   0.011868
80728.000000,   0.000390,   59.941406,   0.015248
81020.000000,   0.000387,   59.934082,   0.017729
81322.000000,   0.000373,   59.930420,   0.019774
81650.000000,   0.000372,   59.930420,   0.021212
81975.000000,   0.000337,   59.934082,   0.022134
82249.000000,   0.000352,   59.934082,   0.022980
82843.000000,   0.000385,   59.937744,   0.023932
83157.000000,   0.000370,   59.941406,   0.024266
83434.000000,   0.000426,   59.937744,   0.024493
83760.000000,   0.000432,   59.934082,   0.024706
84063.000000,   0.000456,   59.937744,   0.024889
84558.000000,   0.000408,   59.934082,   0.025204
84892.000000,   0.000387,   59.930420,   0.025317
85144.000000,   0.000450,   59.930420,   0.025435
85439.000000,   0.000454,   59.923096,   0.025548
85740.000000,   0.000404,   59.946289,   0.025667
86026.000000,   0.000425,   59.937744,   0.025765
86302.000000,   0.000457,   59.949951,   0.025735
86631.000000,   0.000453,   59.934082,   0.025773
86971.000000,   0.000490,   59.934082,   0.025863
87503.000000,   0.000480,   59.937744,   0.025920
87780.000000,   0.000505,   59.930420,   0.025978
88126.000000,   0.000485,   59.946289,   0.026007
88418.000000,   0.000455,   59.934082,   0.026091
88695.000000,   0.000477,   59.937744,   0.026095
89022.000000,   0.000496,   59.930420,   0.026129
89298.000000,   0.000462,   59.934082,   0.026187
89644.000000,   0.000473,   59.930420,   0.026224
89970.000000,   0.000516,   -0.042725,   0.024153
90245.000000,   0.000495,   -0.012207,   0.017528
90590.000000,   0.000479,   -0.015869,   0.013828
90841.000000,   0.000547,   -0.012207,   0.010039
91190.000000,   0.000560,   -0.019531,   0.008047
91463.000000,   0.000521,   -0.026855,   0.006472
91756.000000,   0.000544,   -0.019531,   0.005292
92036.000000,   0.000546,   -0.008545,   0.004305
92365.000000,   0.000545,   -0.015869,   0.003630
92664.000000,   0.000533,   -0.012207,   0.003160
92963.000000,   0.000566,   -0.023193,   0.002754
93243.000000,   0.000537,   -0.030518,   0.002435
93570.000000,   0.000567,   -0.023193,   0.002200
93824.000000,   0.000509,   -0.015869,   0.002010
94410.000000,   0.000489,   -0.026855,   0.001722
94720.000000,   0.000489,   -0.019531,   0.001593
95023.000000,   0.000511,   -0.015869,   0.001467
95560.000000,   0.000554,   -0.015869,   0.001289
95896.000000,   0.000530,   -0.015869,   0.001210
96395.000000,   0.000471,   -0.015869,   0.001190
96426.000000,   0.000476,   -0.019531,   0.001122
96722.000000,   0.000548,   -0.012207,   0.001012
96998.000000,   0.000546,   -0.019531,   0.000986
97326.000000,   0.000502,   -0.023193,   0.000956
97672.000000,   0.000536,   -0.023193,   0.000898
97946.000000,   0.000541,   -0.023193,   0.000815
98242.000000,   0.000472,   -0.019531,   0.000861
98518.000000,   0.000474,   -0.023193,   0.000812
98846.000000,   0.000485,   -0.015869,   0.000758
99191.000000,   0.000472,   -0.015869,   0.000728
99506.000000,   0.000464,   -0.026855,   0.000682
99797.000000,   0.000468,   59.937744,   0.000713
100080.000000,   0.000463,   59.941406,   0.007098
100427.000000,   0.000468,   59.937744,   0.009283
100544.000000,   0.000524,   59.937744,   0.011868
100718.000000,   0.000458,   59.926758,   0.013514
100842.000000,   0.000495,   59.937744,   0.014561
101147.000000,   0.000500,   59.934082,   0.017402
101268.000000,   0.000475,   59.926758,   0.018131
101535.000000,   0.000473,   59.941406,   0.019998
101875.000000,   0.000466,   59.934082,   0.021470
101984.000000,   0.000485,   59.937744,   0.021792
102331.000000,   0.000487,   59.934082,   0.023379
103002.000000,   0.000539,   59.930420,   0.024407
103726.000000,   0.000531,   59.937744,   0.024771
104004.000000,   0.000540,   59.934082,   0.024979
104146.000000,   0.000496,   59.937744,   0.025173
104491.000000,   0.000527,   59.930420,   0.025204
104734.000000,   0.000577,   59.934082,   0.025328
105162.000000,   0.000563,   59.946289,   0.025480
105446.000000,   0.000560,   59.930420,   0.025598
105891.000000,   0.000549,   59.930420,   0.025685
106271.000000,   0.000529,   59.930420,   0.025811
106484.000000,   0.000528,   59.937744,   0.025872
106705.000000,   0.000581,   59.937744,   0.025947
107090.000000,   0.000620,   59.937744,   0.025947
107324.000000,   0.000584,   59.934082,   0.025996
107798.000000,   0.000555,   59.930420,   0.026057
107869.000000,   0.000584,   59.937744,   0.026084
108140.000000,   0.000575,   59.934082,   0.026122
108514.000000,   0.000572,   59.930420,   0.026178
108859.000000,   0.000575,   59.930420,   0.026235
109330.000000,   0.000582,   59.937744,   0.026300
109706.000000,   0.000670,   19.119873,   0.026414
110391.000000,   0.000648,   -0.008545,   0.020388
110770.000000,   0.000651,   -0.023193,   0.013707
111046.000000,   0.000688,   -0.019531,   0.010460
111492.000000,   0.000680,   -0.012207,   0.006294
111870.000000,   0.000616,   -0.019531,   0.005945
112212.000000,   0.000687,   -0.030518,   0.004059
112592.000000,   0.000622,   -0.019531,   0.003892
112823.000000,   0.000660,   -0.023193,   0.003319
113242.000000,   0.000635,   -0.026855,   0.002781
113565.000000,   0.000643,   -0.019531,   0.002504
113709.000000,   0.000677,   -0.015869,   0.002227
114336.000000,   0.000609,   -0.030518,   0.001998
114626.000000,   0.000664,   -0.026855,   0.001809
115065.000000,   0.000608,   -0.015869,   0.001672
115283.000000,   0.000632,   -0.015869,   0.001559
115528.000000,   0.000628,   -0.015869,   0.001403
116170.000000,   0.000636,   -0.019531,   0.001335
116252.000000,   0.000617,   -0.023193,   0.001267
116887.000000,   0.000662,   -0.030518,   0.001145
116969.000000,   0.000595,   -0.023193,   0.001187
117324.000000,   0.000659,   -0.023193,   0.001062
117616.000000,   0.000648,   -0.026855,   0.001021
118016.000000,   0.000651,   -0.023193,   0.000929
118285.000000,   0.000636,   -0.030518,   0.000898
118756.000000,   0.000611,   -0.015869,   0.000872
119180.000000,   0.000621,   -0.019531,   0.000812
119476.000000,   0.000587,   -0.019531,   0.000826
119631.000000,   0.000572,   -0.019531,   0.000762
120272.000000,   0.000606,   59.937744,   0.004700
120350.000000,   0.000568,   59.946289,   0.012474
120802.000000,   0.000636,   59.937744,   0.016678
121186.000000,   0.000636,   59.930420,   0.017418
121424.000000,   0.000600,   59.937744,   0.019467
121862.000000,   0.000603,   59.930420,   0.021432
122191.000000,   0.000569,   59.941406,   0.022391
122586.000000,   0.000613,   59.934082,   0.023264
122879.000000,   0.000652,   59.941406,   0.023746
122970.000000,   0.000635,   59.937744,   0.023879
123239.000000,   0.000630,   59.937744,   0.024229
123651.000000,   0.000626,   59.941406,   0.024817
124049.000000,   0.000641,   59.941406,   0.025063
124726.000000,   0.000657,   59.941406,   0.025355
125108.000000,   0.000653,   59.937744,   0.025510
125831.000000,   0.000650,   59.937744,   0.025708
126170.000000,   0.000689,   59.937744,   0.025765
126509.000000,   0.000642,   59.934082,   0.025867
126877.000000,   0.000699,   59.937744,   0.025883
