t,   y,   u
38012.000000,   0.035965,   -0.026855,   0.000468
38582.000000,   0.040924,   -0.023193,   0.000486
38608.000000,   0.055802,   -0.019531,   0.000449
38932.000000,   0.000336,   -0.026855,   0.000486
39222.000000,   0.025208,   -0.023193,   0.000495
39546.000000,   0.059235,   -0.012207,   0.000449
39825.000000,   0.039169,   -0.026855,   0.000422
40124.000000,   0.005524,   -0.015869,   0.000495
40386.000000,   0.042603,   -0.015869,   0.000422
40709.000000,   0.040924,   -0.019531,   0.000391
41047.000000,   0.056183,   -0.023193,   0.000382
41318.000000,   0.027115,   -0.026855,   0.000440
41610.000000,   0.013153,   -0.026855,   0.000413
41860.000000,   0.003769,   -0.019531,   0.000422
42156.000000,   0.052597,   -0.015869,   0.000355
42444.000000,   -0.006912,   -0.023193,   0.000413
42732.000000,   -0.002334,   -0.023193,   0.000391
43302.000000,   0.034592,   -0.023193,   0.000355
43684.000000,   0.020020,   -0.026855,   0.000327
43975.000000,   0.021546,   -0.012207,   0.000373
44262.000000,   0.050690,   -0.019531,   0.000345
44584.000000,   -0.003097,   -0.019531,   0.000345
44873.000000,   0.018723,   -0.019531,   0.000364
45193.000000,   0.052750,   -0.019531,   0.000300
45513.000000,   0.045502,   -0.023193,   0.000269
45804.000000,   0.052979,   -0.030518,   0.000300
46100.000000,   0.013764,   -0.023193,   0.000291
46361.000000,   0.042832,   -0.023193,   0.000309
46686.000000,   0.042450,   -0.015869,   0.000309
46978.000000,   0.032684,   -0.023193,   0.000309
47298.000000,   0.031922,   -0.019531,   0.000309
47630.000000,   0.040924,   -0.015869,   0.000269
47884.000000,   0.025437,   -0.012207,   0.000291
48176.000000,   0.054886,   -0.019531,   0.000281
48466.000000,   0.035736,   -0.015869,   0.000269
48758.000000,   0.042069,   -0.019531,   0.000260
49081.000000,   0.021393,   -0.023193,   0.000300
49346.000000,   0.004761,   -0.023193,   0.000300
49687.000000,   0.029251,   -0.019531,   0.000242
49983.000000,   0.018494,   39.962158,   0.005561
50247.000000,   0.055039,   39.958496,   0.016660
50568.000000,   -0.018204,   39.954834,   0.025114
50893.000000,   0.007584,   39.951172,   0.031870
51237.000000,   -0.002334,   39.951172,   0.040058
51800.000000,   0.052597,   39.951172,   0.043128
52088.000000,   0.055267,   39.954834,   0.045829
52389.000000,   0.040695,   39.954834,   0.047846
