t,   y,   u
44411.000000,   31.188660,   59.748535
44886.000000,   31.158142,   59.764404
45187.000000,   31.570129,   59.752197
45442.000000,   31.814270,   59.760742
45758.000000,   31.432800,   59.768066
46073.000000,   31.875305,   59.764404
46361.000000,   31.905823,   59.757080
46676.000000,   31.676941,   59.757080
46961.000000,   31.783752,   59.760742
47275.000000,   32.134705,   59.768066
47562.000000,   32.134705,   59.764404
47876.000000,   32.317810,   59.760742
48161.000000,   32.134705,   59.760742
48450.000000,   33.279114,   59.757080
48708.000000,   32.409363,   59.752197
49020.000000,   32.043152,   59.760742
49308.000000,   33.141785,   59.757080
49618.000000,   33.813171,   59.757080
49936.000000,   32.546692,   59.757080
50194.000000,   33.111267,   59.760742
50528.000000,   33.385925,   59.752197
50840.000000,   33.111267,   59.760742
51122.000000,   33.477478,   59.760742
51436.000000,   34.286194,   59.757080
51722.000000,   33.553772,   59.768066
51980.000000,   33.675842,   59.771729
52308.000000,   34.484558,   59.757080
52616.000000,   33.340149,   59.752197
52874.000000,   34.591370,   59.764404
53204.000000,   34.118347,   59.760742
53519.000000,   34.423523,   59.760742
53776.000000,   34.301453,   59.760742
54104.000000,   34.011536,   59.757080
54342.000000,   34.011536,   59.752197
54578.000000,   33.752136,   59.760742
54861.000000,   34.057312,   59.752197
55144.000000,   34.576111,   59.757080
55455.000000,   34.957581,   59.760742
55784.000000,   34.835510,   59.752197
56018.000000,   34.896545,   59.757080
56266.000000,   35.430603,   59.768066
56501.000000,   35.461121,   59.757080
56813.000000,   35.155945,   59.748535
57098.000000,   35.049133,   59.757080
57409.000000,   35.384827,   59.752197
57716.000000,   35.674744,   59.764404
57973.000000,   35.430603,   59.764404
58302.000000,   35.461121,   59.757080
58614.000000,   36.330872,   59.760742
58874.000000,   35.644226,   59.760742
59184.000000,   35.232239,   59.752197
59495.000000,   35.705261,   59.757080
59779.000000,   35.934143,   59.748535
60092.000000,   35.705261,   59.764404
60349.000000,   35.842590,   59.757080
60682.000000,   36.254578,   59.764404
60941.000000,   35.796814,   59.764404
61256.000000,   36.620789,   59.744873
61587.000000,   36.498718,   59.768066
61845.000000,   36.452942,   59.760742
62170.000000,   36.681824,   59.752197
62477.000000,   36.742859,   59.757080
62735.000000,   36.468201,   59.757080
63067.000000,   37.261658,   59.752197
63304.000000,   37.017517,   59.748535
63539.000000,   36.437683,   59.752197
63789.000000,   36.468201,   59.757080
64074.000000,   36.788635,   59.760742
64404.000000,   37.414246,   59.760742
64642.000000,   36.681824,   59.757080
64923.000000,   37.292175,   59.752197
65181.000000,   37.383728,   59.760742
65492.000000,   37.688904,   59.757080
65803.000000,   37.139587,   59.764404
66064.000000,   37.872009,   59.752197
66390.000000,   37.414246,   59.760742
66643.000000,   38.512878,   59.760742
66969.000000,   37.933044,   59.764404
67276.000000,   38.299255,   59.757080
67560.000000,   37.612610,   59.757080
67874.000000,   37.582092,   59.760742
68130.000000,   38.482361,   59.764404
68380.000000,   38.299255,   59.775391
68900.000000,   39.031677,   59.757080
69158.000000,   37.917786,   59.757080
69470.000000,   38.695984,   59.757080
69754.000000,   38.253479,   59.757080
70065.000000,   38.634949,   59.752197
70300.000000,   39.596252,   59.764404
70584.000000,   39.214783,   59.760742
70840.000000,   38.436584,   59.752197
71168.000000,   38.482361,   59.764404
71476.000000,   39.870911,   59.764404
71760.000000,   39.626770,   59.760742
72072.000000,   39.886169,   59.760742
72331.000000,   40.008240,   59.752197
72662.000000,   39.107971,   59.771729
72946.000000,   40.084534,   59.752197
73178.000000,   39.321594,   59.752197
73491.000000,   40.069275,   59.752197
73775.000000,   39.748840,   59.760742
74285.000000,   39.947205,   59.757080
74318.000000,   40.038757,   59.760742
74602.000000,   40.282898,   59.760742
74860.000000,   39.825134,   59.764404
75172.000000,   39.657288,   59.757080
75430.000000,   40.588074,   59.764404
75768.000000,   40.450745,   59.757080
76078.000000,   40.374451,   59.760742
76360.000000,   40.862732,   59.752197
76673.000000,   40.191345,   59.764404
76957.000000,   40.145569,   59.757080
77270.000000,   40.694885,   59.760742
77538.000000,   40.618591,   59.760742
77850.000000,   41.320496,   59.757080
78180.000000,   40.572815,   59.757080
78439.000000,   40.832214,   59.764404
78768.000000,   41.534119,   59.760742
79083.000000,   41.015320,   59.760742
79320.000000,   40.755920,   59.764404
79602.000000,   41.808777,   59.764404
79860.000000,   40.984802,   59.752197
80173.000000,   41.763000,   59.764404
80419.000000,   41.518860,   59.757080
80735.000000,   42.159729,   59.752197
80994.000000,   42.419128,   59.760742
81323.000000,   41.793518,   59.760742
81634.000000,   41.503601,   59.752197
81919.000000,   42.709045,   59.752197
82234.000000,   42.266541,   59.760742
82545.000000,   42.037659,   59.760742
82814.000000,   42.281799,   59.757080
83144.000000,   42.648010,   59.764404
83454.000000,   43.075256,   59.764404
83784.000000,   42.037659,   59.764404
84017.000000,   42.236023,   59.760742
84302.000000,   42.617493,   59.744873
84560.000000,   43.105774,   59.760742
84874.000000,   42.892151,   59.760742
85184.000000,   42.846375,   59.760742
