ti,   y,   u
15452.000000,   27.877350,   49.782410
15506.000000,   27.969360,   49.790039
15612.000000,   27.952881,   49.782410
15712.000000,   27.770233,   49.790039
15822.000000,   27.175598,   49.790039
15906.000000,   27.587585,   49.790039
16012.000000,   27.847137,   49.785461
16106.000000,   28.396454,   49.790039
16212.000000,   27.495575,   49.782410
16311.000000,   28.212433,   49.782410
16419.000000,   28.518677,   49.785461
16532.000000,   28.059998,   49.790039
16613.000000,   28.259125,   49.770203
16712.000000,   27.922668,   49.782410
16811.000000,   27.328033,   49.790039
16926.000000,   28.075104,   49.790039
17013.000000,   28.075104,   49.770203
17112.000000,   28.044891,   49.785461
17212.000000,   28.059998,   49.777832
17306.000000,   27.328033,   49.785461
17412.000000,   27.832031,   49.782410
17505.000000,   27.770233,   49.782410
17621.000000,   28.349762,   49.782410
17706.000000,   28.441772,   49.774780
17812.000000,   27.770233,   49.782410
17906.000000,   27.632904,   49.790039
18012.000000,   27.984467,   49.785461
18128.000000,   28.594208,   49.785461
18212.000000,   28.502197,   49.785461
18312.000000,   28.014679,   49.777832
18412.000000,   27.815552,   49.770203
18506.000000,   27.632904,   49.782410
18612.000000,   28.456879,   49.782410
18712.000000,   28.746643,   49.774780
18812.000000,   28.471985,   49.785461
18939.000000,   28.334656,   49.790039
19012.000000,   27.648010,   49.793091
19112.000000,   28.090210,   49.785461
19212.000000,   28.686218,   49.774780
19327.000000,   28.487091,   49.785461
19412.000000,   28.227539,   49.777832
19506.000000,   28.059998,   49.785461
19612.000000,   28.930664,   49.790039
19716.000000,   28.182220,   49.782410
19837.000000,   29.067993,   49.785461
19912.000000,   28.731537,   49.785461
20012.000000,   28.259125,   49.777832
20106.000000,   28.319550,   49.785461
20212.000000,   28.808441,   49.782410
20306.000000,   29.143524,   49.777832
20413.000000,   29.235535,   49.777832
20512.000000,   28.671112,   49.777832
20612.000000,   28.349762,   49.777832
20706.000000,   28.975983,   49.785461
20811.000000,   28.182220,   49.782410
20921.000000,   29.051514,   49.785461
21012.000000,   28.868866,   49.785461
21106.000000,   28.259125,   49.777832
21212.000000,   29.051514,   49.774780
21306.000000,   28.609314,   49.785461
21432.000000,   28.686218,   49.782410
21512.000000,   28.441772,   49.774780
21612.000000,   29.220428,   49.790039
21711.000000,   29.403076,   49.782410
21812.000000,   28.808441,   49.782410
21905.000000,   29.220428,   49.777832
