t,   y,   u
15518.000000,   29.997711,   59.737244
15637.000000,   29.830170,   59.721985
15709.000000,   29.937286,   59.737244
15812.000000,   29.952393,   59.729614
15912.000000,   30.119934,   59.744873
16011.000000,   29.922180,   59.737244
16128.000000,   30.684357,   59.741821
16212.000000,   30.715942,   59.737244
16312.000000,   30.913696,   59.741821
16412.000000,   31.066132,   59.741821
16512.000000,   30.150146,   59.741821
16636.000000,   30.669250,   59.749451
16712.000000,   31.417694,   59.741821
16817.000000,   30.531921,   59.741821
16912.000000,   30.364380,   59.734192
17012.000000,   30.501709,   59.737244
17112.000000,   30.531921,   59.726562
17211.000000,   30.349274,   59.741821
17328.000000,   31.066132,   59.737244
17411.000000,   31.233673,   59.734192
17512.000000,   31.203461,   59.741821
17611.000000,   30.959015,   59.734192
17715.000000,   31.035919,   59.734192
17834.000000,   31.447906,   59.741821
17913.000000,   30.868378,   59.734192
18011.000000,   30.868378,   59.721985
18113.000000,   30.639038,   59.741821
18212.000000,   30.898590,   59.741821
18312.000000,   30.898590,   59.734192
18411.000000,   30.990601,   59.734192
18513.000000,   31.417694,   59.744873
18612.000000,   31.645660,   59.741821
18713.000000,   31.951904,   59.737244
18811.000000,   31.660767,   59.734192
18914.000000,   31.555023,   59.741821
19033.000000,   31.447906,   59.729614
19114.000000,   31.111450,   59.729614
19211.000000,   31.218567,   59.734192
19312.000000,   31.035919,   59.741821
19412.000000,   31.982117,   59.734192
19512.000000,   32.179871,   59.737244
19613.000000,   32.027435,   59.734192
19715.000000,   31.280365,   59.737244
19812.000000,   31.447906,   59.737244
19912.000000,   31.463013,   59.734192
20012.000000,   31.203461,   4.315796
20113.000000,   31.920319,   -0.144348
20232.000000,   31.829681,   -0.039062
20314.000000,   32.271881,   -0.046692
20412.000000,   31.982117,   -0.016174
20512.000000,   31.539917,   -0.023804
20619.000000,   31.737671,   -0.026855
20737.000000,   31.997223,   -0.019226
20812.000000,   32.134552,   -0.023804
20912.000000,   32.394104,   -0.019226
21012.000000,   32.546539,   -0.011597
21112.000000,   32.104340,   -0.016174
21211.000000,   32.378998,   -0.023804
21333.000000,   31.782990,   -0.023804
21411.000000,   32.072754,   -0.019226
21512.000000,   32.241669,   -0.011597
21611.000000,   32.271881,   -0.019226
21713.000000,   31.463013,   -0.023804
21819.000000,   32.576752,   -0.023804
21933.000000,   31.615448,   -0.019226
22012.000000,   32.454529,   -0.011597
22112.000000,   32.501221,   -0.011597
22211.000000,   31.752777,   -0.016174
22327.000000,   31.493225,   -0.031433
22412.000000,   31.539917,   -0.016174
22513.000000,   32.012329,   -0.016174
22620.000000,   31.920319,   -0.019226
22712.000000,   32.546539,   -0.023804
22812.000000,   32.226562,   -0.023804
22912.000000,   31.752777,   -0.026855
23037.000000,   31.478119,   -0.019226
23113.000000,   31.493225,   -0.023804
23212.000000,   31.340790,   -0.026855
23312.000000,   31.188354,   -0.019226
23411.000000,   31.890106,   -0.016174
23527.000000,   31.677246,   -0.016174
23613.000000,   31.752777,   -0.016174
23712.000000,   32.027435,   -0.031433
23811.000000,   31.325684,   -0.016174
23917.000000,   31.722565,   -0.019226
24011.000000,   31.218567,   -0.011597
24112.000000,   31.143036,   -0.023804
24211.000000,   31.218567,   -0.023804
24313.000000,   31.096344,   -0.019226
24411.000000,   30.806580,   -0.026855
24512.000000,   31.158142,   -0.011597
24611.000000,   31.752777,   -0.023804
24712.000000,   31.875000,   -0.023804
24811.000000,   31.417694,   -0.031433
24912.000000,   31.265259,   -0.019226
25012.000000,   31.066132,   -0.026855
25116.000000,   31.402588,   -0.019226
25238.000000,   30.486603,   -0.023804
25313.000000,   31.066132,   -0.023804
25411.000000,   30.883484,   -0.026855
25535.000000,   31.660767,   -0.019226
25611.000000,   31.143036,   -0.019226
25712.000000,   30.776367,   -0.019226
25828.000000,   30.669250,   -0.016174
25912.000000,   30.913696,   -0.023804
26011.000000,   31.173248,   -0.016174
26112.000000,   31.371002,   -0.019226
26211.000000,   31.158142,   -0.026855
26312.000000,   30.974121,   -0.026855
26407.000000,   30.578613,   -0.016174
26512.000000,   30.272369,   -0.011597
26611.000000,   31.447906,   -0.011597
26713.000000,   30.257263,   -0.019226
26823.000000,   31.218567,   -0.023804
26912.000000,   30.821686,   -0.011597
27007.000000,   30.150146,   -0.023804
27112.000000,   30.211945,   -0.019226
27212.000000,   31.020813,   -0.026855
27312.000000,   30.761261,   -0.023804
27417.000000,   30.394592,   -0.019226
27532.000000,   30.746155,   -0.019226
27612.000000,   30.379486,   -0.031433
27712.000000,   30.394592,   -0.016174
27811.000000,   30.791473,   -0.039062
27912.000000,   30.791473,   -0.016174
28025.000000,   30.868378,   -0.026855
28112.000000,   30.364380,   -0.023804
28211.000000,   30.319061,   -0.019226
28312.000000,   30.547028,   -0.016174
28411.000000,   30.608826,   -0.016174
28512.000000,   30.349274,   -0.016174
28618.000000,   30.409698,   -0.026855
28734.000000,   30.287476,   -0.023804
28811.000000,   30.608826,   -0.023804
28912.000000,   30.836792,   -0.019226
29011.000000,   30.227051,   -0.019226
29127.000000,   29.830170,   -0.011597
29212.000000,   30.364380,   -0.023804
29312.000000,   30.868378,   -0.023804
29411.000000,   30.791473,   -0.023804
29512.000000,   29.830170,   -0.019226
29608.000000,   30.089722,   -0.026855
29737.000000,   30.715942,   -0.019226
29812.000000,   30.898590,   -0.019226
29913.000000,   30.242157,   -0.016174
30009.000000,   30.501709,   59.741821
30113.000000,   30.044403,   59.737244
30211.000000,   30.181732,   59.721985
