t,   y,   u
0.000000,   23.193207,   59.760742
240.000000,   23.390961,   59.768066
450.000000,   22.948761,   59.757080
548.000000,   23.695831,   59.757080
644.000000,   22.963867,   59.752197
1088.000000,   23.558502,   59.764404
1152.000000,   23.590088,   59.752197
1471.000000,   23.940277,   59.757080
1764.000000,   23.360748,   59.760742
2050.000000,   23.283844,   59.752197
2304.000000,   23.772736,   59.752197
2628.000000,   24.077606,   59.760742
2888.000000,   24.397583,   59.760742
3456.000000,   25.008698,   59.764404
3512.000000,   24.122925,   59.760742
3796.000000,   24.886475,   59.748535
4084.000000,   25.069122,   59.764404
4397.000000,   25.390472,   59.764404
4684.000000,   25.847778,   59.757080
4966.000000,   25.390472,   59.760742
5224.000000,   25.970001,   59.757080
5562.000000,   25.862885,   59.764404
5879.000000,   26.351776,   59.757080
6114.000000,   25.435791,   59.748535
6429.000000,   26.442413,   59.757080
6722.000000,   26.489105,   59.757080
7004.000000,   26.611328,   59.757080
7317.000000,   26.412201,   59.757080
7578.000000,   27.266388,   59.760742
7893.000000,   26.701965,   59.771729
8210.000000,   27.587738,   59.760742
8468.000000,   27.388611,   59.760742
8804.000000,   27.617950,   59.757080
9118.000000,   27.098846,   59.760742
9353.000000,   27.830811,   59.752197
9685.000000,   27.205963,   59.757080
9972.000000,   27.572632,   -0.098877
10234.000000,   28.549042,   -0.030518
10554.000000,   28.014832,   -0.019531
10884.000000,   28.242798,   -0.008545
11135.000000,   28.212585,   -0.023193
11426.000000,   28.334808,   -0.012207
11680.000000,   28.426819,   -0.023193
12196.000000,   28.761902,   -0.015869
12454.000000,   27.465515,   -0.015869
12770.000000,   28.197479,   -0.019531
13056.000000,   27.510834,   -0.008545
13344.000000,   27.709961,   -0.019531
13600.000000,   27.587738,   -0.008545
13858.000000,   27.098846,   -0.019531
14093.000000,   27.740173,   -0.015869
14410.000000,   28.060150,   -0.023193
14700.000000,   27.663269,   -0.008545
14992.000000,   27.633057,   -0.008545
15310.000000,   26.748657,   -0.012207
15594.000000,   27.358398,   -0.015869
15884.000000,   27.678375,   -0.019531
16200.000000,   26.946411,   -0.015869
16498.000000,   27.328186,   -0.008545
16790.000000,   27.388611,   -0.015869
17076.000000,   27.221069,   -0.012207
17368.000000,   27.175751,   -0.015869
17627.000000,   26.901093,   -0.023193
17948.000000,   26.763763,   -0.019531
18268.000000,   26.763763,   -0.012207
18556.000000,   26.976624,   -0.015869
18848.000000,   26.901093,   -0.015869
19110.000000,   27.144165,   -0.023193
19433.000000,   27.068634,   -0.019531
19694.000000,   26.671753,   -0.030518
20029.000000,   26.351776,   -0.023193
20318.000000,   26.854401,   -0.023193
20580.000000,   26.489105,   -0.012207
20892.000000,   27.328186,   -0.012207
21220.000000,   27.190857,   -0.019531
21453.000000,   26.504211,   -0.019531
21765.000000,   26.397095,   -0.008545
22073.000000,   26.946411,   -0.019531
22314.000000,   26.549530,   -0.023193
22595.000000,   26.778870,   -0.012207
22834.000000,   26.809082,   -0.015869
23144.000000,   26.626434,   -0.012207
23472.000000,   26.641541,   -0.008545
23714.000000,   26.259766,   -0.019531
24194.000000,   26.366882,   -0.015869
24476.000000,   26.259766,   -0.023193
24712.000000,   26.397095,   -0.012207
25024.000000,   25.924683,   -0.015869
25272.000000,   25.939789,   -0.015869
25585.000000,   26.594849,   -0.008545
25893.000000,   26.259766,   -0.015869
26153.000000,   26.274872,   -0.030518
26484.000000,   26.534424,   -0.012207
26734.000000,   26.931305,   -0.019531
27018.000000,   26.259766,   -0.012207
27284.000000,   26.045532,   -0.019531
27598.000000,   26.869507,   -0.015869
27912.000000,   26.077118,   -0.012207
28170.000000,   26.351776,   -0.012207
28506.000000,   26.549530,   -0.019531
28788.000000,   26.045532,   -0.019531
29044.000000,   26.122437,   -0.019531
29357.000000,   26.062012,   -0.012207
29593.000000,   25.908203,   -0.012207
29896.000000,   26.167755,   59.760742
30112.000000,   26.717072,   59.748535
30428.000000,   26.869507,   59.760742
30674.000000,   26.381989,   59.757080
30916.000000,   25.847778,   59.748535
31204.000000,   26.641541,   59.752197
31490.000000,   27.297974,   59.760742
31775.000000,   26.748657,   59.760742
32066.000000,   26.077118,   59.757080
32352.000000,   27.113953,   59.760742
32669.000000,   26.916199,   59.757080
32928.000000,   26.671753,   59.764404
33204.000000,   27.495728,   59.757080
33495.000000,   27.236176,   59.760742
33783.000000,   27.862396,   59.757080
34095.000000,   28.060150,   59.748535
34382.000000,   28.487244,   59.752197
34695.000000,   28.869019,   59.760742
34956.000000,   27.830811,   59.748535
35270.000000,   28.289490,   59.760742
35558.000000,   28.609467,   59.757080
35873.000000,   28.380127,   59.748535
36132.000000,   29.525452,   59.752197
36452.000000,   29.128571,   59.752197
36768.000000,   28.929443,   59.760742
37054.000000,   29.326324,   59.760742
37342.000000,   29.769897,   59.748535
37600.000000,   29.800110,   59.748535
37930.000000,   30.165405,   59.757080
38172.000000,   29.540558,   59.757080
38489.000000,   30.120087,   59.764404
38808.000000,   29.997864,   59.752197
39076.000000,   30.440063,   59.752197
39408.000000,   30.012970,   59.764404
39688.000000,   29.952545,   59.760742
39948.000000,   30.776520,   0.021973
40283.000000,   30.364532,   -0.023193
40540.000000,   31.203613,   -0.008545
40832.000000,   30.669403,   -0.012207
41092.000000,   31.020966,   -0.015869
41410.000000,   30.974274,   -0.023193
41697.000000,   31.081390,   -0.015869
42014.000000,   31.463165,   -0.008545
42292.000000,   31.051178,   -0.008545
42601.000000,   30.868530,   -0.015869
42844.000000,   30.044556,   -0.012207
43289.000000,   30.302734,   -0.015869
43334.000000,   30.409851,   -0.023193
43905.000000,   29.937439,   -0.012207
44160.000000,   30.089874,   -0.023193
44395.000000,   30.883636,   -0.023193
44685.000000,   30.928955,   -0.012207
44974.000000,   30.364532,   -0.019531
45264.000000,   30.898743,   -0.015869
45523.000000,   30.165405,   -0.012207
45840.000000,   30.608978,   -0.019531
46074.000000,   30.089874,   -0.015869
46313.000000,   30.242310,   -0.023193
46602.000000,   29.937439,   -0.019531
46890.000000,   29.555664,   -0.015869
47174.000000,   29.311218,   -0.019531
47490.000000,   29.632568,   -0.019531
47779.000000,   29.158783,   -0.012207
48072.000000,   29.373016,   -0.015869
48335.000000,   29.692993,   -0.023193
48650.000000,   29.296112,   -0.026855
48982.000000,   30.104980,   -0.012207
49300.000000,   29.311218,   -0.012207
49624.000000,   29.937439,   -0.015869
49885.000000,   29.815216,   59.764404
50218.000000,   29.585876,   59.748535
50505.000000,   29.220581,   59.760742
50772.000000,   29.800110,   59.760742
51089.000000,   29.066772,   59.752197
51584.000000,   29.738312,   59.757080
51652.000000,   30.074768,   59.757080
51969.000000,   29.922333,   59.748535
52533.000000,   30.135193,   59.757080
52865.000000,   30.272522,   59.752197
53174.000000,   30.334320,   59.757080
53460.000000,   30.516968,   59.764404
53773.000000,   31.218719,   59.760742
54033.000000,   31.340942,   59.760742
54347.000000,   31.448059,   59.752197
54681.000000,   30.684509,   59.757080
54914.000000,   31.523590,   59.757080
55198.000000,   31.860046,   59.768066
55469.000000,   31.005859,   59.757080
55804.000000,   31.538696,   59.764404
56284.000000,   31.615601,   59.757080
56579.000000,   32.164917,   59.752197
56813.000000,   32.774658,   59.757080
57098.000000,   32.561798,   59.760742
57334.000000,   32.684021,   59.752197
57618.000000,   32.896881,   59.757080
57889.000000,   33.111115,   59.760742
58220.000000,   32.684021,   59.764404
58505.000000,   33.080902,   59.748535
58768.000000,   33.492889,   59.757080
59088.000000,   33.538208,   59.748535
59418.000000,   33.904877,   59.757080
60203.000000,   33.782654,   -0.026855
60475.000000,   33.218231,   -0.015869
60785.000000,   33.583527,   -0.015869
61048.000000,   33.278656,   -0.030518
61378.000000,   34.087524,   -0.026855
62127.000000,   33.889771,   -0.023193
62414.000000,   33.492889,   -0.012207
62696.000000,   33.752441,   -0.023193
62983.000000,   33.340454,   -0.026855
63301.000000,   33.096008,   -0.015869
63812.000000,   33.553314,   -0.015869
64072.000000,   32.866669,   -0.015869
64625.000000,   33.034210,   -0.019531
64874.000000,   33.645325,   -0.019531
65188.000000,   33.186646,   -0.015869
65474.000000,   33.003998,   -0.015869
65758.000000,   33.156433,   -0.015869
65992.000000,   32.394257,   -0.012207
66277.000000,   32.973785,   -0.019531
66513.000000,   32.699127,   -0.012207
66764.000000,   32.347565,   -0.012207
67052.000000,   33.034210,   -0.015869
67370.000000,   33.003998,   -0.015869
67885.000000,   32.637329,   -0.026855
68132.000000,   32.134705,   -0.019531
68448.000000,   32.484894,   -0.019531
68754.000000,   32.988892,   -0.015869
68993.000000,   32.424469,   -0.023193
69278.000000,   32.684021,   -0.015869
69512.000000,   32.225342,   -0.019531
69802.000000,   32.409363,   -0.012207
70060.000000,   32.454681,   -0.015869
70774.000000,   32.409363,   -0.015869
71228.000000,   31.997375,   -0.015869
71779.000000,   32.592010,   -0.012207
71813.000000,   32.454681,   -0.012207
72130.000000,   32.195129,   -0.019531
72418.000000,   32.394257,   -0.004883
72730.000000,   32.256927,   -0.019531
73045.000000,   32.272034,   -0.019531
73355.000000,   32.561798,   -0.015869
73616.000000,   32.256927,   -0.019531
73926.000000,   32.484894,   -0.019531
74216.000000,   31.280518,   -0.012207
74524.000000,   32.256927,   -0.026855
74810.000000,   31.432953,   -0.012207
75110.000000,   31.660919,   -0.012207
75423.000000,   32.119598,   -0.015869
75757.000000,   31.325836,   -0.019531
76069.000000,   31.860046,   -0.008545
76328.000000,   32.104492,   -0.015869
76648.000000,   31.997375,   -0.015869
76955.000000,   31.829834,   -0.015869
77256.000000,   32.042694,   -0.015869
77571.000000,   31.280518,   -0.015869
77858.000000,   31.950684,   -0.015869
78169.000000,   31.248932,   -0.015869
78430.000000,   32.057800,   -0.015869
78746.000000,   31.371155,   -0.012207
79054.000000,   32.469788,   -0.019531
79292.000000,   31.493378,   -0.019531
79607.000000,   32.012482,   -0.012207
79894.000000,   31.905365,   -0.012207
80177.000000,   31.645813,   -0.026855
80484.000000,   32.057800,   -0.019531
80750.000000,   32.256927,   -0.008545
81082.000000,   32.088013,   -0.015869
81339.000000,   31.829834,   -0.004883
81627.000000,   31.630707,   -0.019531
81888.000000,   31.585388,   -0.012207
82203.000000,   31.600494,   -0.012207
82487.000000,   32.104492,   -0.012207
82768.000000,   31.905365,   -0.015869
83084.000000,   31.829834,   -0.008545
83372.000000,   31.523590,   -0.012207
83687.000000,   31.066284,   -0.008545
84007.000000,   31.997375,   -0.004883
84340.000000,   30.989380,   -0.019531
84651.000000,   32.072906,   -0.019531
84912.000000,   31.523590,   -0.008545
85230.000000,   31.478271,   -0.008545
85518.000000,   31.768036,   -0.012207
85804.000000,   31.813354,   -0.008545
86114.000000,   32.088013,   -0.015869
86403.000000,   31.371155,   -0.026855
