NEW_DATA____0003.rec ( 92120 Echant/voies ) Période acquisition :10ms
Date :6/19/2023 2:33:10 PM Fmax 0.1 Hz
t	y	u
1340.000000	2.4643e+001	-2.6478e-002	
1350.000000	2.4887e+001	-1.8913e-002	
1360.000000	2.3865e+001	-2.6478e-002	
1370.000000	2.4124e+001	-3.0261e-002	
1380.000000	2.4643e+001	-3.4043e-002	
1390.000000	2.4750e+001	-3.0261e-002	
1400.000000	2.3895e+001	-3.7826e-002	
1410.000000	2.4185e+001	-3.7826e-002	
1420.000000	2.4597e+001	-2.6478e-002	
1430.000000	2.4719e+001	-2.2695e-002	
1440.000000	2.4033e+001	-3.0261e-002	
1450.000000	2.4307e+001	-4.1608e-002	
1460.000000	2.4506e+001	-2.2695e-002	
1470.000000	2.4597e+001	-3.0261e-002	
1480.000000	2.4109e+001	-2.2695e-002	
1490.000000	2.4261e+001	-3.0261e-002	
1500.000000	2.4399e+001	-2.2695e-002	
1510.000000	2.4658e+001	-3.4043e-002	
1520.000000	2.4155e+001	-3.0261e-002	
1530.000000	2.4445e+001	-3.0261e-002	
1540.000000	2.4368e+001	-2.6478e-002	
1550.000000	2.4460e+001	-3.0261e-002	
1560.000000	2.4292e+001	-3.0261e-002	
1570.000000	2.4506e+001	-3.7826e-002	
1580.000000	2.4231e+001	-2.6478e-002	
1590.000000	2.4490e+001	-3.4043e-002	
1600.000000	2.4384e+001	-3.7826e-002	
1610.000000	2.4521e+001	-2.2695e-002	
1620.000000	2.4170e+001	-2.2695e-002	
1630.000000	2.4261e+001	-3.7826e-002	
1640.000000	2.4506e+001	-3.0261e-002	
1650.000000	2.4612e+001	-3.0261e-002	
1660.000000	2.4109e+001	-3.4043e-002	
1670.000000	2.4231e+001	-3.7826e-002	
1680.000000	2.4506e+001	-2.2695e-002	
1690.000000	2.4658e+001	-2.6478e-002	
1700.000000	2.3972e+001	-3.4043e-002	
1710.000000	2.4261e+001	-2.6478e-002	
1720.000000	2.4582e+001	-3.7826e-002	
1730.000000	2.4841e+001	-2.2695e-002	
1740.000000	2.3911e+001	-3.7826e-002	
1750.000000	2.4139e+001	-3.0261e-002	
1760.000000	2.4582e+001	-3.4043e-002	
1770.000000	2.4826e+001	-3.0261e-002	
1780.000000	2.3880e+001	-3.0261e-002	
1790.000000	2.4155e+001	-3.4043e-002	
1800.000000	2.4750e+001	-2.2695e-002	
1810.000000	2.4841e+001	-2.2695e-002	
1820.000000	2.3865e+001	-3.0261e-002	
1830.000000	2.4063e+001	-3.4043e-002	
1840.000000	2.4597e+001	-3.4043e-002	
1850.000000	2.4811e+001	-3.0261e-002	
1860.000000	2.4002e+001	-3.0261e-002	
1870.000000	2.4124e+001	-3.0261e-002	
1880.000000	2.4628e+001	-2.6478e-002	
1890.000000	2.4872e+001	-3.7826e-002	
1900.000000	2.3880e+001	-3.7826e-002	
1910.000000	2.4048e+001	-3.7826e-002	
1920.000000	2.4704e+001	-2.6478e-002	
1930.000000	2.4826e+001	-2.6478e-002	
1940.000000	2.4063e+001	-2.6478e-002	
1950.000000	2.4170e+001	-3.4043e-002	
1960.000000	2.4673e+001	-2.6478e-002	
1970.000000	2.4750e+001	-3.0261e-002	
1980.000000	2.4048e+001	-3.4043e-002	
1990.000000	2.4231e+001	-2.2695e-002	
2000.000000	2.4582e+001	-1.8913e-002	
2010.000000	2.4734e+001	-2.6478e-002	
2020.000000	2.4033e+001	-3.0261e-002	
2030.000000	2.4277e+001	-2.6478e-002	
2040.000000	2.4429e+001	-3.4043e-002	
2050.000000	2.4536e+001	-3.0261e-002	
2060.000000	2.4170e+001	-2.6478e-002	
2070.000000	2.4353e+001	-2.6478e-002	
2080.000000	2.4277e+001	-3.0261e-002	
2090.000000	2.4475e+001	-3.4043e-002	
2100.000000	2.4261e+001	-3.0261e-002	
2110.000000	2.4475e+001	-2.6478e-002	
2120.000000	2.4292e+001	-2.6478e-002	
2130.000000	2.4551e+001	-2.6478e-002	
2140.000000	2.4338e+001	-3.7826e-002	
2150.000000	2.4612e+001	-2.6478e-002	
2160.000000	2.4200e+001	-2.2695e-002	
2170.000000	2.4368e+001	-3.4043e-002	
2180.000000	2.4353e+001	-3.4043e-002	
2190.000000	2.4643e+001	-2.6478e-002	
2200.000000	2.4078e+001	-2.6478e-002	
2210.000000	2.4246e+001	-2.6478e-002	
2220.000000	2.4475e+001	-2.6478e-002	
2230.000000	2.4750e+001	-2.6478e-002	
2240.000000	2.3987e+001	-3.4043e-002	
2250.000000	2.4216e+001	-2.6478e-002	
2260.000000	2.4689e+001	-3.0261e-002	
2270.000000	2.4796e+001	-2.6478e-002	
2280.000000	2.3987e+001	-2.6478e-002	
2290.000000	2.4124e+001	-3.0261e-002	
2300.000000	2.4658e+001	-3.7826e-002	
2310.000000	2.4902e+001	-3.0261e-002	
2320.000000	2.3895e+001	-3.0261e-002	
2330.000000	2.4002e+001	-3.4043e-002	
2340.000000	2.4628e+001	-3.4043e-002	
2350.000000	2.4963e+001	-3.0261e-002	
2360.000000	2.3865e+001	-3.0261e-002	
2370.000000	2.4094e+001	-2.6478e-002	
2380.000000	2.4673e+001	-2.2695e-002	
2390.000000	2.4994e+001	-2.2695e-002	
2400.000000	2.3972e+001	-2.6478e-002	
2410.000000	2.4048e+001	-3.0261e-002	
2420.000000	2.4643e+001	-3.4043e-002	
2430.000000	2.4857e+001	-3.0261e-002	
2440.000000	2.3987e+001	-2.6478e-002	
2450.000000	2.4124e+001	-3.4043e-002	
2460.000000	2.4567e+001	-2.6478e-002	
2470.000000	2.4826e+001	-3.4043e-002	
2480.000000	2.4063e+001	-2.6478e-002	
2490.000000	2.4323e+001	-3.4043e-002	
2500.000000	2.4551e+001	-3.4043e-002	
2510.000000	2.4750e+001	-2.6478e-002	
2520.000000	2.4124e+001	-2.2695e-002	
2530.000000	2.4368e+001	-1.8913e-002	
2540.000000	2.4384e+001	-2.6478e-002	
2550.000000	2.4704e+001	-3.4043e-002	
2560.000000	2.4185e+001	-2.6478e-002	
2570.000000	2.4414e+001	-2.6478e-002	
2580.000000	2.4429e+001	-2.2695e-002	
2590.000000	2.4536e+001	-2.6478e-002	
2600.000000	2.4277e+001	-1.8913e-002	
2610.000000	2.4521e+001	-3.4043e-002	
2620.000000	2.4216e+001	-2.6478e-002	
2630.000000	2.4475e+001	-3.0261e-002	
2640.000000	2.4338e+001	-3.0261e-002	
2650.000000	2.4673e+001	-2.6478e-002	
2660.000000	2.4109e+001	-3.4043e-002	
2670.000000	2.4490e+001	-2.2695e-002	
2680.000000	2.4429e+001	-4.1608e-002	
2690.000000	2.4734e+001	-2.2695e-002	
2700.000000	2.4017e+001	-3.4043e-002	
2710.000000	2.4445e+001	-3.4043e-002	
2720.000000	2.4445e+001	-2.6478e-002	
2730.000000	2.4765e+001	-2.6478e-002	
2740.000000	2.3956e+001	-2.6478e-002	
2750.000000	2.4338e+001	-2.6478e-002	
2760.000000	2.4475e+001	-2.6478e-002	
2770.000000	2.4857e+001	-2.6478e-002	
2780.000000	2.3926e+001	-3.0261e-002	
2790.000000	2.4200e+001	-3.7826e-002	
2800.000000	2.4536e+001	-3.4043e-002	
2810.000000	2.5070e+001	-3.4043e-002	
