t,y,u
24224,30.426025,-0.023193
24321,30.349121,-0.026855
24419,29.616699,-0.019531
24518,29.632568,-0.026855
24617,30.24292,-0.026855
24713,30.303955,-0.030518
24813,29.663086,-0.030518
24912,29.525146,-0.023193
25013,30.135498,-0.026855
25112,29.754639,-0.023193
25227,29.555664,-0.023193
25324,30.166016,-0.019531
25426,29.98291,-0.019531
25526,29.98291,-0.019531
25624,30.090332,-0.03418
25724,30.303955,-0.023193
25814,29.952393,-0.026855
25912,29.281006,-0.023193
26014,29.189453,-0.023193
26112,29.785156,-0.023193
26213,29.98291,-0.023193
26312,29.144287,-0.030518
26429,29.830322,-0.030518
26511,29.677734,-0.019531
26614,29.158936,-0.026855
26712,29.86084,-0.019531
26813,29.663086,-0.023193
26913,29.968262,-0.023193
27015,29.815674,-0.015869
27114,29.464111,-0.030518
27214,29.35791,-0.023193
27313,29.128418,-0.023193
27412,29.555664,-0.030518
27534,29.449463,-0.023193
27614,29.052734,-0.019531
27712,29.693604,-0.026855
27815,29.205322,-0.019531
27912,28.900146,-0.019531
28013,29.022217,-0.019531
28111,29.602051,-0.026855
28212,29.907227,-0.026855
28311,29.510498,-0.019531
28411,29.083252,-0.023193
28512,29.11377,-0.03418
28611,28.808594,-0.030518
28733,29.052734,-0.030518
28812,29.266357,-0.026855
28912,29.708252,-0.015869
29012,29.11377,-0.019531
29105,29.418945,-0.019531
29211,28.731689,-0.03418
29311,28.792725,-0.026855
29411,28.884277,-0.03418
29511,29.083252,-0.023193
29612,29.296875,-0.023193
29711,29.281006,-0.023193
29812,29.433594,-0.030518
29912,29.403076,-0.023193
30012,29.250488,-0.019531
30111,29.006348,-0.026855
30211,28.4729,-0.023193
30312,28.457031,-0.030518
30413,28.686523,-0.023193
30511,29.022217,-0.026855
30613,29.174805,-0.023193
30711,29.388428,-0.026855
30814,29.205322,-0.026855
30912,29.342041,-0.023193
31020,29.189453,-0.026855
31112,28.839111,-0.03418
31212,29.158936,-0.030518
31307,28.381348,-0.023193
31412,28.518066,-0.023193
31512,28.792725,-0.023193
31628,28.762207,-0.019531
31729,29.35791,-0.019531
31825,29.128418,-0.026855
31925,29.083252,-0.023193
32024,29.266357,-0.019531
32115,29.205322,-0.026855
32219,28.991699,-0.026855
32311,29.205322,-0.026855
32411,29.144287,-0.030518
32529,28.656006,-0.023193
32633,28.670654,-0.019531
32731,28.930664,-0.026855
32830,28.869629,-0.015869
32929,28.701172,-0.019531
33029,28.900146,-0.026855
33112,28.869629,-0.026855
33214,29.006348,-0.03418
33312,29.11377,-0.030518
33412,28.411865,-0.019531
33512,28.900146,-0.019531
33613,28.717041,-0.030518
33712,28.640137,-0.023193
33812,28.579102,-0.030518
33912,29.036865,-0.026855
34012,29.311523,-0.019531
34111,28.518066,-0.019531
34212,28.548584,-0.030518
34312,28.778076,-0.019531
34415,28.900146,-0.030518
34512,28.991699,-0.026855
34611,28.930664,-0.026855
34711,28.564453,-0.026855
34835,28.625488,-0.026855
34911,28.503418,-0.026855
35012,28.395996,-0.023193
35112,28.22876,-0.030518
35212,27.999268,-0.026855
35312,28.212891,-0.012207
35411,28.411865,-0.030518
35511,28.304443,-0.023193
35612,28.656006,-0.023193
35712,28.914795,-0.026855
35812,28.961182,-0.03418
35913,28.701172,-0.019531
36037,28.914795,-0.037842
36110,28.945312,-0.030518
36214,28.991699,-0.026855
36312,28.701172,-0.026855
36411,28.564453,-0.023193
36514,28.609619,-0.026855
36612,28.762207,-0.023193
36706,28.273926,-0.023193
36813,28.395996,-0.026855
36912,28.289795,-0.030518
37013,28.212891,-0.019531
37112,28.304443,-0.030518
37213,28.304443,-0.023193
37311,28.411865,-0.019531
37411,28.518066,-0.023193
37512,27.862549,-0.026855
37619,28.151855,-0.023193
37719,28.701172,-0.030518
37814,28.869629,-0.023193
37909,28.961182,-0.026855
38014,28.686523,-0.012207
38111,28.533936,-0.030518
38213,28.4729,-0.026855
38311,28.22876,-0.019531
38413,28.029785,-0.019531
38512,28.212891,-0.026855
38623,28.411865,-0.015869
38724,28.273926,-0.015869
38819,28.167725,-0.03418
38916,28.304443,-0.026855
39018,28.457031,-0.023193
39118,28.625488,-0.03418
39213,28.701172,-0.030518
39333,28.4729,-0.019531
39434,28.243408,-0.026855
39533,28.029785,-0.023193
39612,27.907715,-0.023193
39712,28.609619,-0.019531
39829,27.96875,-0.026855
39911,28.137207,-0.023193
40013,28.365479,-0.03418
40112,28.395996,-0.026855
40213,28.717041,-0.023193
40313,28.823242,-0.023193
40414,28.85376,-0.030518
40512,28.289795,-0.023193
40611,28.579102,-0.015869
40714,28.395996,-0.026855
40811,28.503418,-0.023193
40926,28.22876,-0.023193
41015,28.076172,-0.030518
41112,27.893066,-0.037842
41215,27.923584,-0.030518
41312,27.893066,-0.019531
41413,27.907715,-0.023193
41512,27.938232,-0.023193
41612,28.365479,-0.023193
41710,28.304443,-0.023193
41805,28.457031,-0.026855
41912,28.701172,-0.026855
42018,28.930664,-0.030518
42132,28.670654,-0.030518
42212,28.548584,-0.030518
42311,28.395996,-0.026855
42412,28.09082,-0.023193
42511,27.923584,-0.019531
42614,27.862549,-0.030518
42711,27.862549,-0.023193
42812,27.984619,-0.019531
42912,28.243408,-0.026855
43013,28.22876,-0.015869
43112,28.381348,-0.030518
43211,28.579102,-0.026855
43312,28.701172,-0.023193
43411,27.984619,-0.026855
43506,28.656006,-0.03418
43613,28.656006,-0.015869
43712,28.533936,-0.026855
43813,28.564453,-0.019531
43911,28.518066,-0.015869
44013,28.304443,-0.015869
44112,28.289795,-0.026855
44211,27.663574,-0.030518
44324,27.679443,-0.03418
44424,28.304443,-0.023193
44512,28.289795,-0.026855
44611,28.640137,-0.019531
44707,28.182373,-0.03418
44811,27.954102,-0.019531
44912,28.579102,-0.026855
45032,28.533936,-0.026855
45130,27.999268,-0.023193
45233,27.954102,-0.023193
45333,28.548584,-0.026855
45430,28.243408,-0.015869
45529,28.426514,-0.023193
45629,28.029785,-0.019531
45706,28.426514,-0.023193
45814,28.518066,-0.019531
45913,28.365479,-0.026855
46013,28.548584,-0.026855
46112,28.548584,-0.026855
46213,28.731689,-0.026855
46334,28.533936,-0.026855
46433,28.365479,-0.023193
46513,28.151855,-0.015869
46614,28.151855,-0.030518
46713,27.907715,-0.008545
46813,27.724609,-0.03418
46909,27.954102,-0.03418
47019,27.862549,-0.026855
47113,28.167725,-0.023193
47212,27.785645,-0.023193
47310,28.365479,-0.026855
47413,28.640137,-0.019531
47512,28.4729,-0.037842
47614,28.320312,-0.023193
47712,28.198242,-0.026855
47813,28.487549,-0.03418
47912,28.686523,-0.023193
48013,28.686523,-0.030518
48112,28.533936,-0.023193
48239,28.548584,-0.026855
48311,28.533936,-0.030518
48413,28.365479,-0.026855
48512,28.503418,-0.023193
48613,28.533936,-0.023193
48711,28.518066,-0.015869
48814,28.442383,-0.019531
48911,28.151855,-0.026855
49011,27.954102,-0.019531
49111,27.938232,-0.030518
49213,28.045654,-0.026855
49312,28.381348,-0.019531
49439,28.015137,-0.026855
49511,27.694092,-0.026855
49613,27.633057,-0.026855
49712,27.832031,-0.026855
49813,27.984619,-0.019531
49911,28.167725,-0.030518
50013,28.121338,59.741211
50111,28.334961,59.733887
50218,27.862549,59.737549
50318,28.304443,59.730225
50416,28.015137,59.741211
50517,27.709961,59.726562
50614,27.954102,59.744873
50711,28.747559,59.730225
50812,27.832031,59.730225
50933,28.243408,59.737549
51028,27.938232,59.744873
51128,28.533936,59.730225
51229,28.212891,59.730225
51326,28.259277,59.733887
51426,27.755127,59.726562
51524,28.579102,59.733887
51614,28.35083,59.730225
51712,28.625488,59.744873
51814,28.4729,59.737549
51912,28.656006,59.730225
52031,28.518066,59.737549
52130,28.731689,59.741211
52231,28.97583,59.733887
52313,29.006348,59.7229
52413,28.4729,59.737549
52513,28.839111,59.737549
52615,29.494629,59.726562
52713,28.625488,59.733887
52814,28.869629,59.733887
52912,29.342041,59.733887
53009,28.778076,59.730225
53110,29.602051,59.737549
53214,29.219971,59.726562
53312,29.083252,59.726562
53414,29.464111,59.730225
53512,28.97583,59.737549
53612,30.043945,59.737549
53712,29.525146,59.733887
53815,29.311523,59.733887
53912,29.968262,59.730225
54012,30.12085,59.733887
54107,29.998779,59.726562
54209,29.602051,59.730225
54340,29.846191,59.730225
54411,29.525146,59.741211
54505,29.418945,59.741211
54614,30.36499,59.744873
54712,29.876709,59.744873
54813,30.334473,59.730225
54911,30.36499,59.733887
55013,29.73877,59.730225
55111,30.548096,59.737549
55213,29.891357,59.741211
55312,30.623779,59.741211
55411,30.471191,59.733887
55507,30.853271,59.733887
55611,30.334473,59.730225
55712,30.227051,59.730225
55813,30.670166,59.733887
55913,30.212402,59.737549
56014,31.264648,59.730225
56112,30.548096,59.730225
56214,31.219482,59.733887
56313,30.532227,59.737549
56414,31.142578,59.744873
56512,30.532227,59.730225
56613,30.928955,59.730225
56712,31.097412,59.737549
56813,31.173096,59.730225
56928,31.25,59.726562
57026,30.86792,59.737549
57125,31.463623,59.730225
57224,30.684814,59.737549
57324,31.691895,59.726562
57425,30.98999,59.730225
57514,31.691895,59.733887
57614,31.173096,59.733887
57712,31.921387,59.730225
57816,31.707764,59.733887
57914,31.356201,59.737549
58013,32.104492,59.737549
58133,31.081543,59.741211
58213,31.799316,59.733887
58313,31.356201,59.733887
58413,31.966553,59.733887
58512,31.722412,59.733887
58614,31.813965,59.741211
58714,32.393799,59.733887
58813,31.860352,59.733887
58912,32.485352,59.733887
59013,31.738281,59.737549
59112,31.829834,59.741211
59238,31.921387,59.733887
59312,32.470703,59.733887
59413,31.585693,59.7229
59514,32.546387,59.733887
59613,31.921387,59.733887
59712,32.348633,59.726562
59811,32.180176,59.726562
59912,32.698975,59.730225
60011,32.562256,59.733887
60107,32.821045,59.726562
60211,32.409668,59.733887
60307,32.790527,59.730225
60435,32.562256,59.730225
60513,32.836914,59.733887
60613,32.973633,59.730225
60713,32.454834,59.744873
60812,32.13501,59.737549
60907,32.714844,59.741211
61010,32.393799,59.730225
61105,32.393799,59.733887
61213,33.309326,59.741211
61311,32.806396,59.748535
61412,33.233643,59.726562
61513,32.729492,59.737549
61612,33.111572,59.733887
61707,33.02002,59.730225
61813,32.851562,59.730225
61912,33.095703,59.741211
62014,33.065186,59.733887
62112,33.095703,59.726562
62213,33.02002,59.744873
62312,33.431396,59.744873
62413,32.989502,59.733887
62511,33.187256,59.730225
62612,33.278809,59.733887
62712,33.492432,59.730225
62813,32.958984,59.741211
62912,33.355713,59.730225
63018,34.133301,59.737549
63117,33.614502,59.733887
63215,33.248291,59.737549
63311,33.843994,59.741211
63414,33.126221,59.730225
63512,33.431396,59.737549
63629,34.468994,59.730225
63730,33.431396,59.741211
63829,33.736572,59.737549
63934,34.454346,59.733887
64012,33.76709,59.733887
64107,34.545898,59.741211
64214,33.980713,59.726562
64312,34.255371,59.737549
64414,34.27124,59.737549
64508,34.102783,59.726562
64614,34.332275,59.741211
64712,34.316406,59.737549
64813,34.591064,59.730225
64912,34.041748,59.741211
65014,34.865723,59.733887
65113,33.996582,59.733887
65211,34.729004,59.730225
65324,34.14917,59.744873
65413,34.393311,59.741211
65512,34.316406,59.726562
65611,34.835205,59.730225
65710,34.743652,59.726562
65814,34.01123,59.730225
65912,34.851074,59.741211
66011,34.377441,59.733887
66107,34.499512,59.733887
66213,35.201416,59.737549
66312,34.468994,59.737549
66413,34.881592,59.730225
66531,35.140381,59.733887
66611,34.77417,59.730225
66712,35.064697,59.737549
66813,34.407959,59.730225
66912,34.987793,59.748535
67013,34.973145,59.7229
67112,34.27124,59.737549
67212,35.476074,59.733887
67312,34.987793,59.733887
67413,34.987793,59.730225
67512,35.644531,59.730225
67612,34.957275,59.730225
67711,35.65918,59.730225
67813,34.973145,59.737549
67912,35.125732,59.730225
68013,35.292969,59.737549
68112,35.079346,59.730225
68213,35.583496,59.730225
68312,34.942627,59.737549
68413,35.720215,59.733887
68512,35.247803,59.733887
68612,36.025391,59.733887
68712,35.430908,59.733887
68812,35.811768,59.730225
68910,35.628662,59.733887
69013,36.147461,59.733887
69118,35.292969,59.733887
69222,35.583496,59.730225
69312,35.323486,59.733887
69418,35.644531,59.737549
69517,36.2854,59.733887
69614,35.476074,59.730225
69734,36.102295,59.737549
69832,35.90332,59.737549
69932,35.476074,59.737549
70033,35.949707,3.861084
70112,35.705566,-0.12207
70211,36.437988,-0.050049
70328,35.65918,-0.037842
70414,35.949707,-0.023193
70513,36.025391,-0.012207
70613,36.621094,-0.030518
70713,36.452637,-0.023193
70814,36.239014,-0.026855
70912,36.147461,-0.030518
71013,35.766602,-0.023193
71113,36.010742,-0.023193
71213,35.797119,-0.023193
71312,36.224365,-0.026855
71430,36.208496,-0.030518
71513,36.330566,-0.03418
71614,36.682129,-0.026855
71713,36.483154,-0.026855
71814,36.086426,-0.023193
71913,36.055908,-0.023193
72013,35.445557,-0.026855
72112,35.888672,-0.023193
72212,36.193848,-0.023193
72312,36.269531,-0.023193
72412,36.590576,-0.03418
72512,36.086426,-0.037842
72634,35.919189,-0.030518
72711,35.964355,-0.026855
72812,35.506592,-0.030518
72912,35.27832,-0.015869
73013,35.78125,-0.023193
73112,35.65918,-0.030518
73213,36.055908,-0.026855
73312,36.224365,-0.019531
73413,35.842285,-0.023193
73512,35.980225,-0.019531
73613,35.567627,-0.03418
73712,35.140381,-0.026855
73813,35.262451,-0.026855
73912,35.506592,-0.019531
74013,35.323486,-0.026855
74112,36.055908,-0.030518
74220,35.644531,-0.026855
74319,35.736084,-0.023193
74416,35.750732,-0.023193
74511,35.720215,-0.019531
74613,35.323486,-0.026855
74712,35.354004,-0.023193
74813,35.003662,-0.026855
74933,34.790039,-0.023193
75013,35.217285,-0.023193
75112,35.03418,-0.023193
75224,34.820557,-0.015869
75322,35.384521,-0.030518
75421,35.003662,-0.026855
75520,34.912109,-0.026855
75618,35.003662,-0.030518
75711,34.682617,-0.023193
75832,34.820557,-0.030518
75912,34.865723,-0.023193
76013,35.262451,-0.023193
76112,35.323486,-0.030518
76213,35.339355,-0.023193
76312,35.430908,-0.019531
76413,35.308838,-0.015869
76512,34.89624,-0.023193
76613,34.530029,-0.026855
76713,34.637451,-0.042725
76813,34.942627,-0.019531
76913,35.079346,-0.023193
77013,35.262451,-0.023193
