File_Record_0001.rec ( 60606 Echant/voies ) Période acquisition :10ms
Date :6/16/2023 2:21:29 PM Fmax 1 Hz
t	y	u	
1340.000000	2.3703e+001	-1.1538e-002	
1350.000000	2.2641e+001	-1.1538e-002	
1360.000000	2.2906e+001	-9.6154e-003	
1370.000000	2.3801e+001	-1.5385e-002	
1380.000000	2.3657e+001	-9.6154e-003	
1390.000000	2.3285e+001	-1.3462e-002	
1400.000000	2.3410e+001	-1.1538e-002	
1410.000000	2.3032e+001	-1.3462e-002	
1420.000000	2.2934e+001	-3.8462e-003	
1430.000000	2.3590e+001	-9.6154e-003	
1440.000000	2.3666e+001	-9.6154e-003	
1450.000000	2.3450e+001	-1.1538e-002	
1460.000000	2.3322e+001	-5.7692e-003	
1470.000000	2.2940e+001	-9.6154e-003	
1480.000000	2.3163e+001	-7.6923e-003	
1490.000000	2.3801e+001	-1.1538e-002	
1500.000000	2.3526e+001	-5.7692e-003	
1510.000000	2.3303e+001	-7.6923e-003	
1520.000000	2.3383e+001	-9.6154e-003	
1530.000000	2.2961e+001	-9.6154e-003	
1540.000000	2.3056e+001	-7.6923e-003	
1550.000000	2.4051e+001	-1.5385e-002	
1560.000000	2.3810e+001	-1.1538e-002	
1570.000000	2.2842e+001	-9.6154e-003	
1580.000000	2.3126e+001	-7.6923e-003	
1590.000000	2.3386e+001	-1.1538e-002	
1600.000000	2.3349e+001	-1.1538e-002	
1610.000000	2.3587e+001	-1.5385e-002	
1620.000000	2.3782e+001	-9.6154e-003	
1630.000000	2.3041e+001	-5.7692e-003	
1640.000000	2.2870e+001	-1.1538e-002	
1650.000000	2.3358e+001	-9.6154e-003	
1660.000000	2.3572e+001	-1.3462e-002	
1670.000000	2.3605e+001	-9.6154e-003	
1680.000000	2.3547e+001	-1.3462e-002	
1690.000000	2.2958e+001	-9.6154e-003	
1700.000000	2.3074e+001	-9.6154e-003	
1710.000000	2.3483e+001	-1.3462e-002	
1720.000000	2.3404e+001	-9.6154e-003	
1730.000000	2.3657e+001	-1.1538e-002	
1740.000000	2.3596e+001	-1.1538e-002	
1750.000000	2.2815e+001	-1.1538e-002	
1760.000000	2.2961e+001	-1.3462e-002	
1770.000000	2.3776e+001	-1.3462e-002	
1780.000000	2.3560e+001	-1.1538e-002	
1790.000000	2.3322e+001	-1.1538e-002	
1800.000000	2.3526e+001	-1.1538e-002	
1810.000000	2.3004e+001	-1.3462e-002	
1820.000000	2.2870e+001	-9.6154e-003	
1830.000000	2.3660e+001	-1.3462e-002	
1840.000000	2.3831e+001	-9.6154e-003	
1850.000000	2.3450e+001	-5.7692e-003	
1860.000000	2.3154e+001	-1.3462e-002	
1870.000000	2.3242e+001	-1.3462e-002	
1880.000000	2.3166e+001	-1.1538e-002	
1890.000000	2.3685e+001	-1.3462e-002	
1900.000000	2.3685e+001	-1.1538e-002	
1910.000000	2.3358e+001	-7.6923e-003	
1920.000000	2.3413e+001	-9.6154e-003	
1930.000000	2.3065e+001	-7.6923e-003	
1940.000000	2.2961e+001	-7.6923e-003	
1950.000000	2.3874e+001	-9.6154e-003	
1960.000000	2.3822e+001	-1.1538e-002	
1970.000000	2.2906e+001	-7.6923e-003	
1980.000000	2.3068e+001	-9.6154e-003	
1990.000000	2.3438e+001	-9.6154e-003	
2000.000000	2.3285e+001	-9.6154e-003	
2010.000000	2.3636e+001	-9.6154e-003	
2020.000000	2.3871e+001	-1.3462e-002	
2030.000000	2.2971e+001	-1.5385e-002	
2040.000000	2.2806e+001	-7.6923e-003	
2050.000000	2.3373e+001	-9.6154e-003	
2060.000000	2.3447e+001	-7.6923e-003	
2070.000000	2.3526e+001	-1.3462e-002	
2080.000000	2.3615e+001	-1.3462e-002	
2090.000000	2.3068e+001	-1.1538e-002	
2100.000000	2.3022e+001	-1.1538e-002	
2110.000000	2.3367e+001	-1.1538e-002	
2120.000000	2.3471e+001	-1.1538e-002	
2130.000000	2.3581e+001	-1.3462e-002	
2140.000000	2.3657e+001	-7.6923e-003	
2150.000000	2.2855e+001	-1.1538e-002	
2160.000000	2.2870e+001	-1.3462e-002	
2170.000000	2.3853e+001	-9.6154e-003	
2180.000000	2.3599e+001	-5.7692e-003	
2190.000000	2.3285e+001	-7.6923e-003	
2200.000000	2.3666e+001	-7.6923e-003	
