x, y
4764.460511679644, 0.24615384615384617
4768.909899888766, 0.24615384615384617
4780.589543937708, 0.12307692307692308
4785.59510567297, 0.12307692307692308
4792.269187986652, 0.06153846153846154
4796.7185761957735, 0.06153846153846154
4800.055617352614, 0.24615384615384617
4805.061179087876, 0.5538461538461539
4810.622914349277, 0.9230769230769231
4812.847608453838, 1.2923076923076924
4816.740823136819, 1.6
4821.19021134594, 1.8461538461538463
4823.9710789766405, 2.5846153846153848
4826.195773081201, 2.8923076923076927
4829.532814238042, 3.4461538461538463
4828.976640711902, 3.8153846153846156
4832.869855394883, 4.553846153846154
4835.650723025584, 4.984615384615385
4839.543937708565, 5.415384615384616
4839.543937708565, 5.907692307692308
4845.105672969967, 6.523076923076923
4848.442714126808, 7.0769230769230775
4849.555061179088, 7.6923076923076925
4855.116796440489, 8.430769230769231
4855.116796440489, 8.676923076923078
4858.453837597331, 8.984615384615385
4859.5661846496105, 9.538461538461538
4862.903225806452, 9.846153846153847
4866.240266963293, 10.76923076923077
4867.908787541713, 11.13846153846154
4869.577308120133, 11.630769230769232
4873.470522803114, 12.061538461538461
4877.919911012235, 12.492307692307692
4879.588431590656, 13.107692307692309
4882.925472747497, 13.415384615384616
4885.150166852058, 13.600000000000001
4885.150166852058, 13.907692307692308
4887.374860956618, 14.338461538461539
4891.268075639599, 15.13846153846154
4894.048943270301, 15.323076923076924
4894.605116796441, 15.56923076923077
4896.829810901001, 16.184615384615384
4899.6106785317015, 16.553846153846155
4899.6106785317015, 17.046153846153846
4902.947719688543, 17.47692307692308
4905.172413793103, 17.96923076923077
4909.065628476084, 18.27692307692308
4907.397107897664, 18.83076923076923
4910.734149054505, 19.446153846153848
4911.846496106786, 19.630769230769232
4914.627363737486, 20
4916.295884315907, 20.492307692307694
4920.189098998888, 20.73846153846154
4919.076751946607, 21.169230769230772
4921.301446051168, 21.661538461538463
4922.969966629588, 22.33846153846154
4926.3070077864295, 22.953846153846154
4930.200222469411, 23.384615384615387
4931.868743047831, 23.876923076923077
4936.874304783092, 24.492307692307694
4936.874304783092, 25.230769230769234
4941.323692992213, 26.03076923076923
4945.773081201335, 26.83076923076923
4949.110122358175, 27.384615384615387
4953.003337041157, 28.123076923076926
4956.896551724138, 29.04615384615385
4964.12680756396, 29.846153846153847
4970.244716351502, 30.83076923076923
4978.031145717464, 31.815384615384616
4985.261401557286, 32.55384615384616
4995.828698553949, 33.41538461538462
5004.171301446051, 33.90769230769231
5013.626251390434, 34.4
5023.637374860957, 34.64615384615385
5031.979977753059, 34.52307692307693
5039.766407119021, 34.215384615384615
5043.659621802002, 34.215384615384615
5053.114571746385, 33.723076923076924
5057.563959955506, 33.353846153846156
5061.457174638487, 33.04615384615385
5065.906562847608, 32.61538461538462
5070.91212458287, 31.692307692307693
5072.02447163515, 31.384615384615387
5077.030033370412, 30.33846153846154
5079.810901001112, 30.03076923076923
5080.367074527252, 29.661538461538463
5084.816462736374, 29.230769230769234
5090.378197997776, 28.06153846153846
5090.378197997776, 27.50769230769231
5090.378197997776, 27.261538461538464
5094.271412680757, 26.76923076923077
5095.383759733037, 26.400000000000002
5096.496106785317, 26.03076923076923
5098.720800889878, 25.846153846153847
5098.720800889878, 24.615384615384617
5102.614015572859, 24
5104.28253615128, 23.384615384615387
5107.06340378198, 23.076923076923077
5109.2880978865405, 22.584615384615386
5109.2880978865405, 21.907692307692308
5111.512791991101, 21.53846153846154
5115.406006674082, 21.046153846153846
5117.074527252503, 20.24615384615385
5120.411568409344, 19.50769230769231
5120.411568409344, 18.70769230769231
5125.417130144605, 18.33846153846154
5127.641824249165, 17.784615384615385
5129.866518353726, 17.47692307692308
5129.310344827586, 16.615384615384617
5130.422691879867, 16
5134.315906562848, 15.50769230769231
5135.428253615128, 15.200000000000001
5137.096774193548, 14.76923076923077
5140.4338153503895, 13.907692307692308
5139.877641824249, 13.353846153846154
5145.43937708565, 12.246153846153847
5149.332591768632, 11.384615384615385
5153.225806451613, 10.584615384615386
5157.675194660734, 9.600000000000001
5162.124582869856, 8.861538461538462
5167.130144605117, 8
5176.0289210233595, 6.523076923076923
5173.248053392658, 7.015384615384615
5177.141268075639, 5.969230769230769
5182.146829810901, 5.415384615384616
5187.708565072303, 4.492307692307692
5192.714126807564, 3.8153846153846156
5195.494994438264, 3.2615384615384615
5200.500556173526, 2.523076923076923
5206.062291434928, 1.7846153846153847
5210.511679644049, 1.1076923076923078
5214.40489432703, 0.5538461538461539
5217.741935483871, 0.18461538461538463
